,geo,year,siec,fuel,unit,GFC_ELC,GEP_RED,electricity_consumption,GHP_RED,FC_IND_OTH_E,GFC_HEAT_CL_E,heat_consumption,FC_TRA_OTH_E_RED,FC_TRA_RAIL_E_RED,FC_TRA_ROAD_E_RED,GFC_TRA_E_NMULTI,GFC_TRA_E_MULTI,transport_consumption,all_sectors_consumption
41,AL,2010,W6210,Renewable municipal waste,TJ,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
42,AL,2011,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"0,0","0,0","0,0","8709,004548",,"8709,004548",,,,,,,"8709,004548"
43,AL,2011,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
44,AL,2011,R5300,Biogases,TJ,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
45,AL,2011,RA000,Renewables and biofuels,TJ,,"17743,4928","17743,4928",,,"9197,98092","9197,98092",,,,"0,0","0,0","0,0","26941,473719999998"
46,AL,2011,TOTAL,Total,TJ,"26830,8",,"26830,8",,,"29267,574192","29267,574192",,,,"32035,007124000003","32035,007124000003","32035,007124000003","88133,38131600001"
47,AL,2011,W6210,Renewable municipal waste,TJ,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
48,AL,2012,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"0,0","0,0","0,0","8645,993208",,"8645,993208",,,,,,,"8645,993208"
49,AL,2012,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
50,AL,2012,R5300,Biogases,TJ,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
51,AL,2012,RA000,Renewables and biofuels,TJ,,"18937,382400000002","18937,382400000002",,,"9139,99374","9139,99374",,,,"0,0","0,0","0,0","28077,376140000004"
52,AL,2012,TOTAL,Total,TJ,"26146,8",,"26146,8",,,"23376,160440000003","23376,160440000003",,,,"30659,015304000004","30659,015304000004","30659,015304000004","80181,97574400001"
53,AL,2012,W6210,Renewable municipal waste,TJ,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
54,AL,2013,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"0,0","0,0","0,0","8435,983320000001",,"8435,983320000001",,,,,,,"8435,983320000001"
55,AL,2013,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
56,AL,2013,R5300,Biogases,TJ,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
57,AL,2013,RA000,Renewables and biofuels,TJ,,"20939,6376","20939,6376",,,"8934,00318","8934,00318",,,,"0,0","0,0","0,0","29873,640779999998"
58,AL,2013,TOTAL,Total,TJ,"33415,200000000004",,"33415,200000000004",,,"23656,25736","23656,25736",,,,"33410,998944000006","33410,998944000006","33410,998944000006","90482,45630400002"
59,AL,2013,W6210,Renewable municipal waste,TJ,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
60,AL,2014,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"0,0","0,0","0,0","8088,981336000001",,"8088,981336000001",,,,,,,"8088,981336000001"
61,AL,2014,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","0,0","1080,8224200000002",,,"1080,8224200000002","1080,8224200000002"
62,AL,2014,R5300,Biogases,TJ,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
63,AL,2014,RA000,Renewables and biofuels,TJ,,"19909,540800000002","19909,540800000002",,,"8608,018932","8608,018932",,,,"0,0","0,0","0,0","28517,559732000005"
64,AL,2014,TOTAL,Total,TJ,"28047,600000000002",,"28047,600000000002",,,"27788,587091999994","27788,587091999994",,,,"34663,815108","34663,815108","34663,815108","90500,00219999999"
65,AL,2014,W6210,Renewable municipal waste,TJ,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
66,AL,2015,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"0,0","0,0","0,0","8555,014044",,"8555,014044",,,,,,,"8555,014044"
67,AL,2015,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","0,0","1267,176888",,,"1267,176888","1267,176888"
68,AL,2015,R5300,Biogases,TJ,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
69,AL,2015,RA000,Renewables and biofuels,TJ,,"20802,538800000002","20802,538800000002",,,"9073,00494","9073,00494",,,,"0,0","0,0","0,0","29875,543740000005"
70,AL,2015,TOTAL,Total,TJ,"26258,4",,"26258,4",,,"26257,139388","26257,139388",,,,"34420,185216","34420,185216","34420,185216","86935,724604"
71,AL,2015,W6210,Renewable municipal waste,TJ,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
72,AL,2016,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"0,0","0,0","0,0","7343,01918",,"7343,01918",,,,,,,"7343,01918"
73,AL,2016,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","0,0","3428,8217280000003",,,"3428,8217280000003","3428,8217280000003"
74,AL,2016,R5300,Biogases,TJ,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
75,AL,2016,RA000,Renewables and biofuels,TJ,,"22877,3628","22877,3628",,,"8083,999044","8083,999044",,,,"0,0","0,0","0,0","30961,361844"
76,AL,2016,TOTAL,Total,TJ,"27864,0",,"27864,0",,,"24910,371432000004","24910,371432000004",,,,"34517,821392","34517,821392","34517,821392","87292,192824"
77,AL,2016,W6210,Renewable municipal waste,TJ,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
78,AL,2017,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"0,0","0,0","0,0","6674,094144",,"6674,094144",,,,,,,"6674,094144"
79,AL,2017,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","0,0","3678,9411600000003",,,"3678,9411600000003","3678,9411600000003"
80,AL,2017,R5300,Biogases,TJ,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
81,AL,2017,RA000,Renewables and biofuels,TJ,,"24382,7136","24382,7136",,,"7374,755124","7374,755124",,,,"0,0","0,0","0,0","31757,468724000002"
82,AL,2017,TOTAL,Total,TJ,"26786,9052",,"26786,9052",,,"30466,966788","30466,966788",,,,"34930,849212","34930,849212","34930,849212","92184,72120000001"
83,AL,2017,W6210,Renewable municipal waste,TJ,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
84,AL,2018,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"0,0","0,0","0,0","6644,870280000001",,"6644,870280000001",,,,,,,"6644,870280000001"
85,AL,2018,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","0,0","5233,5",,,"5233,5","5233,5"
86,AL,2018,R5300,Biogases,TJ,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
87,AL,2018,RA000,Renewables and biofuels,TJ,,"25427,9664","25427,9664",,,"7282,394316000001","7282,394316000001",,,,"0,0","0,0","0,0","32710,360716000003"
88,AL,2018,TOTAL,Total,TJ,"27499,8456",,"27499,8456",,,"32063,268024","32063,268024",,,,"34911,045648","34911,045648","34911,045648","94474,15927200002"
89,AL,2018,W6210,Renewable municipal waste,TJ,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
90,AT,2004,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"6118,7004","6118,7004","10495,009692000001","96198,0102",,"106693,019892",,,,,,,"112811,720292"
91,AT,2004,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
92,AT,2004,R5300,Biogases,TJ,,"212,0724","212,0724","78,000084","358,01326800000004",,"436,013352","0,0","0,0","0,0",,,"0,0","648,085752"
93,AT,2004,RA000,Renewables and biofuels,TJ,,"144267,12","144267,12",,,"113265,960948","113265,960948",,,,"7780,288572","15444,100368","7780,288572","265313,36952"
94,AT,2004,TOTAL,Total,TJ,"234104,90759999998",,"234104,90759999998",,,"561691,5002280001","561691,5002280001",,,,"333146,020608","340676,69216400007","333146,020608","1128942,4284360001"
95,AT,2004,W6210,Renewable municipal waste,TJ,,"474,8076","474,8076","1191,98196","0,0",,"1191,98196",,,,,,,"1666,7895600000002"
96,AT,2005,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"6937,6644","6937,6644","11046,327516","111141,201816",,"122187,529332",,,,,,,"129125,193732"
97,AT,2005,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","21,310812000000002","3067,165944",,,"3088,476756","3088,476756"
98,AT,2005,R5300,Biogases,TJ,,"1119,528","1119,528","223,61698800000002","813,7883160000001",,"1037,4053040000001","0,0","0,0","0,0",,,"0,0","2156,9333040000006"
99,AT,2005,RA000,Renewables and biofuels,TJ,,"151968,4596","151968,4596",,,"133052,40093600002","133052,40093600002",,,,"10681,531632","17876,966112000002","10681,531632","295702,392168"
100,AT,2005,TOTAL,Total,TJ,"241607,94119999997",,"241607,94119999997",,,"581985,1291680001","581985,1291680001",,,,"345573,28036800004","352648,38621599996","345573,28036800004","1169166,350736"
101,AT,2005,W6210,Renewable municipal waste,TJ,,"504,9828","504,9828","1159,4923920000003","0,0",,"1159,4923920000003",,,,,,,"1664,4751920000003"
102,AT,2006,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"9160,326","9160,326","14039,763912","117372,625596",,"131412,389508",,,,,,,"140572,715508"
103,AT,2006,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","88,96950000000001","10631,876184",,,"10720,845684","10720,845684"
104,AT,2006,R5300,Biogases,TJ,,"1482,0875999999998","1482,0875999999998","331,636428","610,2261",,"941,862528","0,0","0,0","0,0",,,"0,0","2423,950128"
105,AT,2006,RA000,Renewables and biofuels,TJ,,"156988,6992","156988,6992",,,"144031,99086000002","144031,99086000002",,,,"18520,184196","25863,998868","18520,184196","319540,874256"
106,AT,2006,TOTAL,Total,TJ,"245950,24320000006",,"245950,24320000006",,,"586480,789404","586480,789404",,,,"336108,390948","343330,286004","336108,390948","1168539,4235520002"
107,AT,2006,W6210,Renewable municipal waste,TJ,,"759,2508000000001","759,2508000000001","1148,271768","0,0",,"1148,271768",,,,,,,"1907,522568"
108,AT,2007,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"11388,704400000002","11388,704400000002","17069,709204","122974,64773200001",,"140044,356936",,,,,,,"151433,061336"
109,AT,2007,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","98,975952","13386,497508",,,"13485,47346","13485,47346"
110,AT,2007,R5300,Biogases,TJ,,"2167,1784000000002","2167,1784000000002","355,66866","742,7383199999999",,"1098,40698","0,0","0,0","0,0",,,"0,0","3265,58538"
111,AT,2007,RA000,Renewables and biofuels,TJ,,"163005,3612","163005,3612",,,"153890,816292","153890,816292",,,,"21363,816888","28695,74104800001","21363,816888","338259,99438000005"
112,AT,2007,TOTAL,Total,TJ,"248240,51280000003",,"248240,51280000003",,,"565597,11474","565597,11474",,,,"340973,82936000003","348185,67609599995","340973,82936000003","1154811,4569"
113,AT,2007,W6210,Renewable municipal waste,TJ,,"799,236","799,236","1245,112452","0,0",,"1245,112452",,,,,,,"2044,3484520000002"
114,AT,2008,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"11938,726799999999","11938,726799999999","22213,444212","121706,968428",,"143920,41264",,,,,,,"155859,13943999997"
115,AT,2008,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","100,56693600000001","16446,043476000003",,,"16546,610412","16546,610412"
116,AT,2008,R5300,Biogases,TJ,,"2167,0020000000004","2167,0020000000004","398,457756","1097,737092",,"1496,1948480000003","0,0","0,0","0,0",,,"0,0","3663,196848000001"
117,AT,2008,RA000,Renewables and biofuels,TJ,,"164534,6016","164534,6016",,,"159435,186192","159435,186192",,,,"24507,182592000005","32310,121751999995","24507,182592000005","348476,970384"
118,AT,2008,TOTAL,Total,TJ,"249756,2424",,"249756,2424",,,"583443,7265519999","583443,7265519999",,,,"329423,36925600003","337096,22454","329423,36925600003","1162623,338208"
119,AT,2008,W6210,Renewable municipal waste,TJ,,"734,2992","734,2992","1421,962884","0,0",,"1421,962884",,,,,,,"2156,2620840000004"
120,AT,2009,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"12290,299200000001","12290,299200000001","24302,866752","122741,90352",,"147044,770272",,,,,,,"159335,069472"
121,AT,2009,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","132,51222","21266,808732",,,"21399,320952000002","21399,320952000002"
122,AT,2009,R5300,Biogases,TJ,,"2190,9708000000005","2190,9708000000005","287,54942399999993","738,13284",,"1025,682264","0,0","0,0","0,041868",,,"0,041868","3216,694932000001"
123,AT,2009,RA000,Renewables and biofuels,TJ,,"165755,04840000003","165755,04840000003",,,"163843,467912","163843,467912",,,,"29188,987955999994","36969,150924","29188,987955999994","358787,504268"
124,AT,2009,TOTAL,Total,TJ,"241542,06840000002",,"241542,06840000002",,,"553819,0601880001","553819,0601880001",,,,"323056,041948","330697,161288","323056,041948","1118417,170536"
125,AT,2009,W6210,Renewable municipal waste,TJ,,"770,67","770,67","1785,000312","0,0",,"1785,000312",,,,,,,"2555,6703119999997"
126,AT,2010,R5110-5150_W6000RI,Primary solid biofuels,TJ,,"12925,008000000002","12925,008000000002","30260,93436","135206,258328",,"165467,19268799998",,,,,,,"178392,20068799998"
127,AT,2010,R5200,Liquid biofuels,TJ,,,,,,,,"0,0","130,16761200000002","20612,118816000002",,,"20742,286428","20742,286428"
