geo,year,siec,fuel,unit,electricity_consumption,heat_consumption,transport_consumption,all_sectors_consumption
AL,2015,TOTAL,Total,TJ,"26258,4","26257,139388","34420,185216","86935,724604"
AL,2015,W6210,Renewable municipal waste,TJ,"0,0","0,0",,"0,0"
AL,2016,R5110-5150_W6000RI,Primary solid biofuels,TJ,"0,0","7343,01918",,"7343,01918"
AL,2016,R5200,Liquid biofuels,TJ,,,"3428,8217280000003","3428,8217280000003"
AL,2016,R5300,Biogases,TJ,"0,0","0,0","0,0","0,0"
AL,2016,RA000,Renewables and biofuels,TJ,"22877,3628","8083,999044","0,0","30961,361844"
AL,2016,TOTAL,Total,TJ,"27864,0","24910,371432000004","34517,821392","87292,192824"
AL,2016,W6210,Renewable municipal waste,TJ,"0,0","0,0",,"0,0"
AL,2017,R5110-5150_W6000RI,Primary solid biofuels,TJ,"0,0","6674,094144",,"6674,094144"
AL,2017,R5200,Liquid biofuels,TJ,,,"3678,9411600000003","3678,9411600000003"
AL,2017,R5300,Biogases,TJ,"0,0","0,0","0,0","0,0"
AL,2017,RA000,Renewables and biofuels,TJ,"24382,7136","7374,755124","0,0","31757,468724000002"
AL,2017,TOTAL,Total,TJ,"26786,9052","30466,966788","34930,849212","92184,72120000001"
AL,2017,W6210,Renewable municipal waste,TJ,"0,0","0,0",,"0,0"
AL,2018,R5110-5150_W6000RI,Primary solid biofuels,TJ,"0,0","6644,870280000001",,"6644,870280000001"
AL,2018,R5200,Liquid biofuels,TJ,,,"5233,5","5233,5"
AL,2018,R5300,Biogases,TJ,"0,0","0,0","0,0","0,0"
AL,2018,RA000,Renewables and biofuels,TJ,"25427,9664","7282,394316000001","0,0","32710,360716000003"
AL,2018,TOTAL,Total,TJ,"27499,8456","32063,268024","34911,045648","94474,15927200002"
AL,2018,W6210,Renewable municipal waste,TJ,"0,0","0,0",,"0,0"
AT,2004,R5110-5150_W6000RI,Primary solid biofuels,TJ,"6118,7004","106693,019892",,"112811,720292"
AT,2004,R5200,Liquid biofuels,TJ,,,"0,0","0,0"
AT,2004,R5300,Biogases,TJ,"212,0724","436,013352","0,0","648,085752"
AT,2004,RA000,Renewables and biofuels,TJ,"144267,12","113265,960948","7780,288572","265313,36952"
AT,2004,TOTAL,Total,TJ,"234104,90759999998","561691,5002280001","333146,020608","1128942,4284360001"
AT,2004,W6210,Renewable municipal waste,TJ,"474,8076","1191,98196",,"1666,7895600000002"
AT,2005,R5110-5150_W6000RI,Primary solid biofuels,TJ,"6937,6644","122187,529332",,"129125,193732"
AT,2005,R5200,Liquid biofuels,TJ,,,"3088,476756","3088,476756"
AT,2005,R5300,Biogases,TJ,"1119,528","1037,4053040000001","0,0","2156,9333040000006"
AT,2005,RA000,Renewables and biofuels,TJ,"151968,4596","133052,40093600002","10681,531632","295702,392168"
AT,2005,TOTAL,Total,TJ,"241607,94119999997","581985,1291680001","345573,28036800004","1169166,350736"
AT,2005,W6210,Renewable municipal waste,TJ,"504,9828","1159,4923920000003",,"1664,4751920000003"
AT,2006,R5110-5150_W6000RI,Primary solid biofuels,TJ,"9160,326","131412,389508",,"140572,715508"
AT,2006,R5200,Liquid biofuels,TJ,,,"10720,845684","10720,845684"
AT,2006,R5300,Biogases,TJ,"1482,0875999999998","941,862528","0,0","2423,950128"
AT,2006,RA000,Renewables and biofuels,TJ,"156988,6992","144031,99086000002","18520,184196","319540,874256"
AT,2006,TOTAL,Total,TJ,"245950,24320000006","586480,789404","336108,390948","1168539,4235520002"
AT,2006,W6210,Renewable municipal waste,TJ,"759,2508000000001","1148,271768",,"1907,522568"
AT,2007,R5110-5150_W6000RI,Primary solid biofuels,TJ,"11388,704400000002","140044,356936",,"151433,061336"
AT,2007,R5200,Liquid biofuels,TJ,,,"13485,47346","13485,47346"
AT,2007,R5300,Biogases,TJ,"2167,1784000000002","1098,40698","0,0","3265,58538"
AT,2007,RA000,Renewables and biofuels,TJ,"163005,3612","153890,816292","21363,816888","338259,99438000005"
AT,2007,TOTAL,Total,TJ,"248240,51280000003","565597,11474","340973,82936000003","1154811,4569"
AT,2007,W6210,Renewable municipal waste,TJ,"799,236","1245,112452",,"2044,3484520000002"
AT,2008,R5110-5150_W6000RI,Primary solid biofuels,TJ,"11938,726799999999","143920,41264",,"155859,13943999997"
AT,2008,R5200,Liquid biofuels,TJ,,,"16546,610412","16546,610412"
AT,2008,R5300,Biogases,TJ,"2167,0020000000004","1496,1948480000003","0,0","3663,196848000001"
AT,2008,RA000,Renewables and biofuels,TJ,"164534,6016","159435,186192","24507,182592000005","348476,970384"
AT,2008,TOTAL,Total,TJ,"249756,2424","583443,7265519999","329423,36925600003","1162623,338208"
AT,2008,W6210,Renewable municipal waste,TJ,"734,2992","1421,962884",,"2156,2620840000004"
AT,2009,R5110-5150_W6000RI,Primary solid biofuels,TJ,"12290,299200000001","147044,770272",,"159335,069472"
AT,2009,R5200,Liquid biofuels,TJ,,,"21399,320952000002","21399,320952000002"
AT,2009,R5300,Biogases,TJ,"2190,9708000000005","1025,682264","0,041868","3216,694932000001"
AT,2009,RA000,Renewables and biofuels,TJ,"165755,04840000003","163843,467912","29188,987955999994","358787,504268"
AT,2009,TOTAL,Total,TJ,"241542,06840000002","553819,0601880001","323056,041948","1118417,170536"
AT,2009,W6210,Renewable municipal waste,TJ,"770,67","1785,000312",,"2555,6703119999997"
AT,2010,R5110-5150_W6000RI,Primary solid biofuels,TJ,"12925,008000000002","165467,19268799998",,"178392,20068799998"
AT,2010,R5200,Liquid biofuels,TJ,,,"20742,286428","20742,286428"
AT,2010,R5300,Biogases,TJ,"2326,158","1220,03352","0,083736","3546,2752559999994"
AT,2010,RA000,Renewables and biofuels,TJ,"168108,498","185027,210532","28362,053088000004","381497,76162"
AT,2010,TOTAL,Total,TJ,"253330,7472","597933,194652","332632,9282679999","1183896,87012"
AT,2010,W6210,Renewable municipal waste,TJ,"770,2668000000001","2034,0311760000002",,"2804,297976"
AT,2011,R5110-5150_W6000RI,Primary solid biofuels,TJ,"13359,816","160878,334284",,"174238,150284"
AT,2011,R5200,Liquid biofuels,TJ,,,"20840,801832","20840,801832"
AT,2011,R5300,Biogases,TJ,"2250,414","1314,0690480000003","0,293076","3564,7761240000004"
AT,2011,RA000,Renewables and biofuels,TJ,"169405,4988","179744,26442400002","24935,408496","374085,17172"
AT,2011,TOTAL,Total,TJ,"253690,03079999998","569981,4060960001","319871,059452","1143542,4963480001"
AT,2011,W6210,Renewable municipal waste,TJ,"761,6880000000001","2251,828512",,"3013,516512"
AT,2012,R5110-5150_W6000RI,Primary solid biofuels,TJ,"13670,748","168279,298776",,"181950,04677600003"
AT,2012,R5200,Liquid biofuels,TJ,,,"20555,178336","20555,178336"
AT,2012,R5300,Biogases,TJ,"2310,0192","1647,3801959999998","0,460548","3957,8599440000003"
AT,2012,RA000,Renewables and biofuels,TJ,"173612,17440000002","188579,291652","25321,892004","387513,358056"
AT,2012,TOTAL,Total,TJ,"257444,0064","572130,6580080001","319884,83402400004","1149459,4984320002"
AT,2012,W6210,Renewable municipal waste,TJ,"862,5528","2059,319448",,"2921,8722480000006"
AT,2013,R5110-5150_W6000RI,Primary solid biofuels,TJ,"13744,1916","172796,98158",,"186541,17317999998"
AT,2013,R5200,Liquid biofuels,TJ,,,"21029,249700000004","21029,249700000004"
AT,2013,R5300,Biogases,TJ,"2242,0331999999994","1738,98738","0,7536240000000001","3981,774204"
AT,2013,RA000,Renewables and biofuels,TJ,"178273,82880000002","194043,23312400002","25967,329092000004","398284,39101600007"
AT,2013,TOTAL,Total,TJ,"258716,02320000005","580385,31102","338087,53317599994","1177188,867396"
AT,2013,W6210,Renewable municipal waste,TJ,"918,3204","1949,457816",,"2867,778216"
AT,2014,R5110-5150_W6000RI,Primary solid biofuels,TJ,"12971,808000000003","158765,21445600002",,"171737,02245600004"
AT,2014,R5200,Liquid biofuels,TJ,,,"24971,959260000003","24971,959260000003"
AT,2014,R5300,Biogases,TJ,"2207,8584","2048,2244280000004","23,027400000000004","4279,1102280000005"
AT,2014,RA000,Renewables and biofuels,TJ,"181331,92799999999","181394,24043600002","30377,411136000002","393103,57957199996"
AT,2014,TOTAL,Total,TJ,"255193,91640000005","540058,513968","336999,71880000003","1132252,1491679999"
AT,2014,W6210,Renewable municipal waste,TJ,"1191,6684","2119,77684",,"3311,4452400000005"
AT,2015,R5110-5150_W6000RI,Primary solid biofuels,TJ,"13362,436799999998","163920,08635199998",,"177282,52315199998"
AT,2015,R5200,Liquid biofuels,TJ,,,"27345,121235999995","27345,121235999995"
AT,2015,R5300,Biogases,TJ,"2280,6864","2087,873424","17,417088","4385,976912"
AT,2015,RA000,Renewables and biofuels,TJ,"185098,4712","188060,37966","34483,99204800001","407642,842908"
AT,2015,TOTAL,Total,TJ,"258934,56120000003","564551,293968","345456,59425200004","1168942,44942"
AT,2015,W6210,Renewable municipal waste,TJ,"1088,0676","2403,934956",,"3492,0025560000004"
AT,2016,R5110-5150_W6000RI,Primary solid biofuels,TJ,"13620,672","168549,84979200002",,"182170,521792"
AT,2016,R5200,Liquid biofuels,TJ,,,"22738,510800000004","22738,510800000004"
AT,2016,R5300,Biogases,TJ,"2396,5632","2259,071676","17,207748","4672,842624"
AT,2016,RA000,Renewables and biofuels,TJ,"189093,0492","193966,196004","30116,740968000002","413175,9861720001"
AT,2016,TOTAL,Total,TJ,"260750,25359999997","579779,564796","352784,289744","1193314,1081400001"
AT,2016,W6210,Renewable municipal waste,TJ,"1189,3104000000003","2586,4375680000003",,"3775,7479680000006"
AT,2017,R5110-5150_W6000RI,Primary solid biofuels,TJ,"14165,078399999999","173371,661748",,"187536,74014800004"
AT,2017,R5200,Liquid biofuels,TJ,,,"20020,314636","20020,314636"
AT,2017,R5300,Biogases,TJ,"2413,2456","2336,44374","11,513700000000002","4761,20304"
AT,2017,RA000,Renewables and biofuels,TJ,"190783,54439999998","200284,07720400003","27075,909996000002","418143,5316"
AT,2017,TOTAL,Total,TJ,"266359,54679999995","594779,4875519999","356831,501832","1217970,5361839999"
AT,2017,W6210,Renewable municipal waste,TJ,"1135,8756","2741,056092",,"3876,931692"
