geo,year,siec,fuel,unit,GFC_ELC,GEP_RED,electricity_consumption,GHP_RED,FC_IND_OTH_E,GFC_HEAT_CL_E,heat_consumption,FC_TRA_OTH_E_RED,FC_TRA_RAIL_E_RED,FC_TRA_ROAD_E_RED,GFC_TRA_E_NMULTI,GFC_TRA_E_MULTI,transport_consumption,all_sectors_consumption
EL,2018,W6210,Renewable municipal waste,KTOE,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
ES,2004,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"190,33009458297508","190,33009458297508","0,0","3424,023",,"3424,023",,,,,,,"3614,3530945829752"
ES,2004,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","174,668",,,"174,668","174,668"
ES,2004,R5300,Biogases,KTOE,,"70,9097162510748","70,9097162510748","0,0","28,685",,"28,685","0,0","0,0","0,0",,,"0,0","99,5947162510748"
ES,2004,RA000,Renewables and biofuels,KTOE,,"4462,99690455718","4462,99690455718",,,"3511,193","3511,193",,,,"260,064","343,332","260,064","8234,25390455718"
ES,2004,TOTAL,Total,KTOE,"23524,677558039555",,"23524,677558039555",,,"36868,258","36868,258",,,,"33130,84","33214,107","33130,84","93523,77555803955"
ES,2004,W6210,Renewable municipal waste,KTOE,,"25,054170249355117","25,054170249355117","0,0","0,0",,"0,0",,,,,,,"25,054170249355117"
ES,2005,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"135,70386930352538","135,70386930352538","0,0","3440,527",,"3440,527",,,,,,,"3576,2308693035257"
ES,2005,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","257,309",,,"257,309","257,309"
ES,2005,R5300,Biogases,KTOE,,"53,60455717970763","53,60455717970763","0,0","22,69",,"22,69","0,0","0,0","0,0",,,"0,0","76,29455717970764"
ES,2005,RA000,Renewables and biofuels,KTOE,,"4738,112983662941","4738,112983662941",,,"3531,857","3531,857",,,,"344,793","434,154","344,793","8614,76298366294"
ES,2005,TOTAL,Total,KTOE,"24772,91487532244",,"24772,91487532244",,,"37603,467","37603,467",,,,"34222,767","34312,127","34222,767","96599,14887532243"
ES,2005,W6210,Renewable municipal waste,KTOE,,"38,794840928632844","38,794840928632844","0,0","0,0",,"0,0",,,,,,,"38,794840928632844"
ES,2006,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"135,2536543422184","135,2536543422184","0,0","3688,497",,"3688,497",,,,,,,"3823,7506543422182"
ES,2006,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","171,109",,,"171,109","171,109"
ES,2006,R5300,Biogases,KTOE,,"51,59071367153912","51,59071367153912","0,0","64,942",,"64,942","0,0","0,0","0,0",,,"0,0","116,53271367153911"
ES,2006,RA000,Renewables and biofuels,KTOE,,"5024,598624247636","5024,598624247636",,,"3834,649","3834,649",,,,"232,918","292,499","232,918","9092,165624247635"
ES,2006,TOTAL,Total,KTOE,"25133,96388650043",,"25133,96388650043",,,"33777,163","33777,163",,,,"34902,966","34962,547999999995","34902,966","93814,09288650044"
ES,2006,W6210,Renewable municipal waste,KTOE,,"51,67669819432502","51,67669819432502","0,0","0,0",,"0,0",,,,,,,"51,67669819432502"
ES,2007,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"133,53396388650043","133,53396388650043","0,0","3720,598",,"3720,598",,,,,,,"3854,1319638865"
ES,2007,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","381,915",,,"381,915","381,915"
ES,2007,R5300,Biogases,KTOE,,"52,27858985382631","52,27858985382631","0,0","72,39399999999998",,"72,39399999999998","0,0","0,0","0,0",,,"0,0","124,67258985382628"
ES,2007,RA000,Renewables and biofuels,KTOE,,"5520,906878761823","5520,906878761823",,,"3894,853","3894,853",,,,"427,387","494,361","427,387","9843,146878761823"
ES,2007,TOTAL,Total,KTOE,"25459,587274290625",,"25459,587274290625",,,"34685,975","34685,975",,,,"35894,628","35961,603","35894,628","96040,19027429062"
ES,2007,W6210,Renewable municipal waste,KTOE,,"63,37059329320723","63,37059329320723","0,0","0,0",,"0,0",,,,,,,"63,37059329320723"
ES,2008,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"162,33877901977644","162,33877901977644","0,0","3626,708",,"3626,708",,,,,,,"3789,0467790197763"
ES,2008,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","612,496",,,"612,496","612,496"
ES,2008,R5300,Biogases,KTOE,,"50,25503009458298","50,25503009458298","0,0","27,921",,"27,921","0,0","0,0","0,0",,,"0,0","78,17603009458298"
ES,2008,RA000,Renewables and biofuels,KTOE,,"6124,4740326741185","6124,4740326741185",,,"3790,449","3790,449",,,,"666,127","743,067","666,127","10581,050032674118"
ES,2008,TOTAL,Total,KTOE,"25790,111779879622",,"25790,111779879622",,,"32626,732000000004","32626,732000000004",,,,"34256,742999999995","34333,682","34256,742999999995","92673,58677987961"
ES,2008,W6210,Renewable municipal waste,KTOE,,"67,23989681857266","67,23989681857266","0,0","0,0",,"0,0",,,,,,,"67,23989681857266"
ES,2009,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"188,90799656061907","188,90799656061907","0,0","3708,059",,"3708,059",,,,,,,"3896,9669965606195"
ES,2009,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","1060,428",,,"1060,428","1060,428"
ES,2009,R5300,Biogases,KTOE,,"45,571797076526224","45,571797076526224","0,0","28,232",,"28,232","0,0","0,0","0,0",,,"0,0","73,80379707652622"
ES,2009,RA000,Renewables and biofuels,KTOE,,"6792,015735167669","6792,015735167669",,,"3931,628","3931,628",,,,"1116,086","1196,104","1116,086","11839,729735167668"
ES,2009,TOTAL,Total,KTOE,"24399,398108340498",,"24399,398108340498",,,"29625,599","29625,599",,,,"32163,442000000006","32243,46","32163,442000000006","86188,4391083405"
ES,2009,W6210,Renewable municipal waste,KTOE,,"65,43422184006879","65,43422184006879","0,0","0,0",,"0,0",,,,,,,"65,43422184006879"
ES,2010,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"215,64918314703354","215,64918314703354","0,0","3651,81",,"3651,81",,,,,,,"3867,4591831470334"
ES,2010,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","1419,891",,,"1419,891","1419,891"
ES,2010,R5300,Biogases,KTOE,,"72,91487532244196","72,91487532244196","0,0","53,072",,"53,072","0,0","0,0","0,0",,,"0,0","125,98687532244196"
ES,2010,RA000,Renewables and biofuels,KTOE,,"7425,01633705933","7425,01633705933",,,"3930,711","3930,711",,,,"1485,681","1579,435","1485,681","12841,40833705933"
ES,2010,TOTAL,Total,KTOE,"24934,39380911436",,"24934,39380911436",,,"31302,841","31302,841",,,,"31387,805","31481,559","31387,805","87625,03980911436"
ES,2010,W6210,Renewable municipal waste,KTOE,,"56,663800515907134","56,663800515907134","0,0","0,0",,"0,0",,,,,,,"56,663800515907134"
ES,2011,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"258,8993981083405","258,8993981083405","0,0","3790,174",,"3790,174",,,,,,,"4049,0733981083404"
ES,2011,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","1701,06",,,"1701,06","1701,06"
ES,2011,R5300,Biogases,KTOE,,"69,04557179707653","69,04557179707653","0,0","55,317",,"55,317","0,0","0,0","0,0",,,"0,0","124,36257179707653"
ES,2011,RA000,Renewables and biofuels,KTOE,,"7745,2325021496135","7745,2325021496135",,,"4092,232","4092,232",,,,"95,502","229,384","95,502","11932,966502149615"
ES,2011,TOTAL,Total,KTOE,"24543,508168529665",,"24543,508168529665",,,"30120,258","30120,258",,,,"29835,956","29969,838","29835,956","84499,72216852967"
ES,2011,W6210,Renewable municipal waste,KTOE,,"68,35769561478934","68,35769561478934","0,0","0,0",,"0,0",,,,,,,"68,35769561478934"
ES,2012,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"292,0034393809114","292,0034393809114","0,0","3849,503",,"3849,503",,,,,,,"4141,506439380912"
ES,2012,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","2099,049",,,"2099,049","2099,049"
ES,2012,R5300,Biogases,KTOE,,"74,46259673258812","74,46259673258812","0,0","55,412",,"55,412","0,0","0,0","0,0",,,"0,0","129,87459673258812"
ES,2012,RA000,Renewables and biofuels,KTOE,,"8136,0199484092855","8136,0199484092855",,,"4170,09","4170,09",,,,"100,242","240,159","100,242","12406,351948409285"
ES,2012,TOTAL,Total,KTOE,"24311,52192605331",,"24311,52192605331",,,"29601,879","29601,879",,,,"27483,221","27623,138","27483,221","81396,62192605331"
ES,2012,W6210,Renewable municipal waste,KTOE,,"61,47893379191745","61,47893379191745","0,0","0,0",,"0,0",,,,,,,"61,47893379191745"
ES,2013,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"356,3010318142734","356,3010318142734","0,0","3744,554",,"3744,554",,,,,,,"4100,855031814273"
ES,2013,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","888,555",,,"888,555","888,555"
ES,2013,R5300,Biogases,KTOE,,"83,68555460017197","83,68555460017197","0,0","125,107",,"125,107","0,0","0,0","0,0",,,"0,0","208,79255460017197"
ES,2013,RA000,Renewables and biofuels,KTOE,,"8674,396646603609","8674,396646603609",,,"4153,317","4153,317",,,,"103,626","250,097","103,626","12931,33964660361"
ES,2013,TOTAL,Total,KTOE,"23619,324247635428",,"23619,324247635428",,,"29485,038","29485,038",,,,"26161,768","26305,851","26161,768","79266,13024763543"
ES,2013,W6210,Renewable municipal waste,KTOE,,"58,6195184866724","58,6195184866724","0,0","0,0",,"0,0",,,,,,,"58,6195184866724"
ES,2014,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"328,48796216680995","328,48796216680995","0,0","3734,356",,"3734,356",,,,,,,"4062,8439621668103"
ES,2014,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","956,33",,,"956,33","956,33"
ES,2014,R5300,Biogases,KTOE,,"78,00584694754944","78,00584694754944","0,0","101,008",,"101,008","0,0","0,0","0,0",,,"0,0","179,01384694754944"
ES,2014,RA000,Renewables and biofuels,KTOE,,"8819,754772141014","8819,754772141014",,,"4471,212","4471,212",,,,"112,396","271,322","112,396","13403,362772141016"
ES,2014,TOTAL,Total,KTOE,"23348,46500429922",,"23348,46500429922",,,"28406,387","28406,387",,,,"26322,206","26478,37","26322,206","78077,05800429921"
ES,2014,W6210,Renewable municipal waste,KTOE,,"59,005245055889944","59,005245055889944","0,0","0,0",,"0,0",,,,,,,"59,005245055889944"
ES,2015,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"345,12751504729147","345,12751504729147","0,0","3926,053",,"3926,053",,,,,,,"4271,180515047291"
ES,2015,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","963,847",,,"963,847","963,847"
ES,2015,R5300,Biogases,KTOE,,"84,41263972484954","84,41263972484954","0,0","59,09",,"59,09","0,0","0,0","0,0",,,"0,0","143,50263972484953"
ES,2015,RA000,Renewables and biofuels,KTOE,,"8818,246861564918","8818,246861564918",,,"4732,678","4732,678",,,,"125,619","303,201","125,619","13676,543861564918"
ES,2015,TOTAL,Total,KTOE,"23865,004299226137",,"23865,004299226137",,,"28015,847","28015,847",,,,"27170,926","27344,719","27170,926","79051,77729922615"
ES,2015,W6210,Renewable municipal waste,KTOE,,"66,06130696474635","66,06130696474635","0,0","2,412",,"2,412",,,,,,,"68,47330696474636"
ES,2016,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"348,0954428202923","348,0954428202923","0,0","4004,729",,"4004,729",,,,,,,"4352,8244428202925"
ES,2016,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","1163,929",,,"1163,929","1163,929"
ES,2016,R5300,Biogases,KTOE,,"77,90541702493552","77,90541702493552","0,0","51,68600000000001",,"51,68600000000001","0,0","0,0","0,0",,,"0,0","129,59141702493554"
ES,2016,RA000,Renewables and biofuels,KTOE,,"8781,783576956148","8781,783576956148",,,"4919,161","4919,161",,,,"1286,1660000000004","1466,677","1286,1660000000004","14987,110576956149"
ES,2016,TOTAL,Total,KTOE,"23987,04385210662",,"23987,04385210662",,,"28568,191000000006","28568,191000000006",,,,"28113,184","28288,041","28113,184","80668,41885210664"
ES,2016,W6210,Renewable municipal waste,KTOE,,"63,245055889939806","63,245055889939806","0,0","5,6370000000000005",,"5,6370000000000005",,,,,,,"68,8820558899398"
ES,2017,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"375,3224419604471","375,3224419604471","0,0","4064,799",,"4064,799",,,,,,,"4440,121441960448"
ES,2017,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","1369,514",,,"1369,514","1369,514"
ES,2017,R5300,Biogases,KTOE,,"80,91143594153051","80,91143594153051","0,0","53,215",,"53,215","0,0","0,0","0,0",,,"0,0","134,12643594153053"
ES,2017,RA000,Renewables and biofuels,KTOE,,"8829,542562338778","8829,542562338778",,,"5109,36","5109,36",,,,"1495,82","1679,5770000000002","1495,82","15434,722562338779"
ES,2017,TOTAL,Total,KTOE,"24260,275150472917",,"24260,275150472917",,,"28997,156000000006","28997,156000000006",,,,"28797,488","28971,486","28797,488","82054,91915047292"
ES,2017,W6210,Renewable municipal waste,KTOE,,"66,38005159071368","66,38005159071368","0,0","6,9620000000000015",,"6,9620000000000015",,,,,,,"73,34205159071368"
ES,2018,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"362,94067067927773","362,94067067927773","0,0","4099,145",,"4099,145",,,,,,,"4462,085670679278"
ES,2018,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","1738,365",,,"1738,365","1738,365"
ES,2018,R5300,Biogases,KTOE,,"79,36371453138435","79,36371453138435","0,0","54,815",,"54,815","0,0","0,0","0,0",,,"0,0","134,17871453138434"
ES,2018,RA000,Renewables and biofuels,KTOE,,"8558,333447979365","8558,333447979365",,,"5273,69","5273,69",,,,"1865,69","2053,334","1865,69","15697,713447979366"
ES,2018,TOTAL,Total,KTOE,"24340,928632846088",,"24340,928632846088",,,"30165,022","30165,022",,,,"29429,198","29601,264","29429,198","83935,14863284609"
ES,2018,W6210,Renewable municipal waste,KTOE,,"64,91831470335339","64,91831470335339","0,0","4,228",,"4,228",,,,,,,"69,14631470335338"
EU27_2020,2004,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"3116,9867583834907","3116,9867583834907","4670,523","51399,763",,"56070,286",,,,,,,"59187,27275838349"
EU27_2020,2004,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","4,419","1832,048",,,"1836,467","1836,467"
EU27_2020,2004,R5300,Biogases,KTOE,,"609,8206362854686","609,8206362854686","104,686","514,4830000000002",,"619,1690000000002","0,0","0,0","10,783",,,"10,783","1239,7726362854687"
EU27_2020,2004,RA000,Renewables and biofuels,KTOE,,"39127,36663800516","39127,36663800516",,,"61897,993","61897,993",,,,"2879,708","4157,2040000000015","2879,708","103905,06763800516"
EU27_2020,2004,TOTAL,Total,KTOE,"246566,3631986242",,"246566,3631986242",,,"528971,4720000001","528971,4720000001",,,,"265954,46","267205,076","265954,46","1041492,2951986243"
EU27_2020,2004,W6210,Renewable municipal waste,KTOE,,"760,9838349097163","760,9838349097163","1322,06","604,9730000000002",,"1927,0330000000001",,,,,,,"2688,0168349097166"
EU27_2020,2005,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"3489,4692175408427","3489,4692175408427","4902,31","54428,758",,"59331,068",,,,,,,"62820,53721754084"
EU27_2020,2005,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","11,114","3139,827",,,"3150,9410000000003","3150,9410000000003"
EU27_2020,2005,R5300,Biogases,KTOE,,"693,3901977644025","693,3901977644025","134,77100000000002","537,99",,"672,761","0,0","0,0","13,388",,,"13,388","1379,5391977644024"
EU27_2020,2005,RA000,Renewables and biofuels,KTOE,,"40952,347721410144","40952,347721410144",,,"65938,163","65938,163",,,,"4189,515","5443,98","4189,515","111080,02572141014"
EU27_2020,2005,TOTAL,Total,KTOE,"249645,32777300084",,"249645,32777300084",,,"529752,956","529752,956",,,,"266188,535","267416,415","266188,535","1045586,8187730007"
EU27_2020,2005,W6210,Renewable municipal waste,KTOE,,"911,165090283749","911,165090283749","1464,7820000000004","446,809",,"1911,5910000000003",,,,,,,"2822,7560902837495"
EU27_2020,2006,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"3883,3454858125538","3883,3454858125538","5154,389","56421,91099999999",,"61576,299999999996",,,,,,,"65459,64548581255"
EU27_2020,2006,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","15,380999999999998","5179,335999999998",,,"5194,716999999999","5194,716999999999"
EU27_2020,2006,R5300,Biogases,KTOE,,"872,919260533104","872,919260533104","129,493","613,431",,"742,924","0,0","0,0","19,78",,,"19,78","1635,623260533104"
EU27_2020,2006,RA000,Renewables and biofuels,KTOE,,"42748,795614789335","42748,795614789335",,,"69197,298","69197,298",,,,"6213,114000000001","7428,779","6213,114000000001","118159,20761478934"
EU27_2020,2006,TOTAL,Total,KTOE,"253133,37016337062",,"253133,37016337062",,,"523772,926","523772,926",,,,"271444,818","272633,462","271444,818","1048351,1141633706"
EU27_2020,2006,W6210,Renewable municipal waste,KTOE,,"1001,5689595872742","1001,5689595872742","1536,406","478,169",,"2014,5749999999998",,,,,,,"3016,143959587274"
EU27_2020,2007,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"4098,658727429063","4098,658727429063","5189,532","59528,81",,"64718,342",,,,,,,"68817,00072742905"
EU27_2020,2007,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","21,806","7183,891",,,"7205,696999999999","7205,696999999999"
EU27_2020,2007,R5300,Biogases,KTOE,,"1371,4840928632846","1371,4840928632846","142,727","805,579",,"948,3059999999999","0,0","0,0","23,706",,,"23,706","2343,4960928632845"
EU27_2020,2007,RA000,Renewables and biofuels,KTOE,,"45094,586844368016","45094,586844368016",,,"73954,773","73954,773",,,,"8245,860999999999","9381,41","8245,860999999999","127295,22084436801"
EU27_2020,2007,TOTAL,Total,KTOE,"255328,54729148754",,"255328,54729148754",,,"499543,312","499543,312",,,,"275681,443","276918,185","275681,443","1030553,3022914876"
EU27_2020,2007,W6210,Renewable municipal waste,KTOE,,"1144,18796216681","1144,18796216681","1736,5479999999998","701,86",,"2438,408",,,,,,,"3582,59596216681"
EU27_2020,2008,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"4572,522785898538","4572,522785898538","5698,95","62528,723",,"68227,673",,,,,,,"72800,19578589854"
EU27_2020,2008,R5200,Liquid biofuels,KTOE,,,,,,,,"2,0","23,611","8897,27",,,"8922,881000000001","8922,881000000001"
EU27_2020,2008,R5300,Biogases,KTOE,,"1642,8980223559759","1642,8980223559759","134,243","855,4960000000002",,"989,7390000000003","0,0","0,0","28,476",,,"28,476","2661,113022355976"
EU27_2020,2008,RA000,Renewables and biofuels,KTOE,,"47610,49638865004","47610,49638865004",,,"78235,933","78235,933",,,,"9978,662","11280,048","9978,662","135825,09138865006"
EU27_2020,2008,TOTAL,Total,KTOE,"256580,59312123817",,"256580,59312123817",,,"510368,478","510368,478",,,,"271788,82","273037,595","271788,82","1038737,8911212382"
EU27_2020,2008,W6210,Renewable municipal waste,KTOE,,"1196,4564058469477","1196,4564058469477","1935,559","326,534",,"2262,093",,,,,,,"3458,5494058469476"
EU27_2020,2009,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"4930,944969905417","4930,944969905417","6034,041","62796,996",,"68831,037",,,,,,,"73761,9819699054"
EU27_2020,2009,R5200,Liquid biofuels,KTOE,,,,,,,,"2,0","25,259","10402,488",,,"10429,747","10429,747"
EU27_2020,2009,R5300,Biogases,KTOE,,"1917,028976784179","1917,028976784179","151,418","1038,139",,"1189,5569999999998","0,0","0,0","36,932",,,"36,932","3143,5179767841782"
EU27_2020,2009,RA000,Renewables and biofuels,KTOE,,"50463,64720550301","50463,64720550301",,,"80249,55900000001","80249,55900000001",,,,"11524,66","13017,48","11524,66","142237,86620550303"
EU27_2020,2009,TOTAL,Total,KTOE,"243949,61779879624",,"243949,61779879624",,,"476957,646","476957,646",,,,"264890,344","266189,182","264890,344","985797,6077987961"
EU27_2020,2009,W6210,Renewable municipal waste,KTOE,,"1181,1806534823731","1181,1806534823731","1961,068","369,15",,"2330,218",,,,,,,"3511,398653482373"
EU27_2020,2010,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"5581,019604471195","5581,019604471195","7562,461999999998","67013,686",,"74576,148",,,,,,,"80157,1676044712"
EU27_2020,2010,R5200,Liquid biofuels,KTOE,,,,,,,,"2,0","27,003","11839,428",,,"11868,431","11868,431"
EU27_2020,2010,R5300,Biogases,KTOE,,"2253,332932072227","2253,332932072227","168,215","1334,069",,"1502,2839999999999","0,0","0,0","55,854",,,"55,854","3811,4709320722263"
EU27_2020,2010,RA000,Renewables and biofuels,KTOE,,"54279,376612209795","54279,376612209795",,,"87084,177","87084,177",,,,"13036,629","14614,11","13036,629","154400,1826122098"
EU27_2020,2010,TOTAL,Total,KTOE,"254693,17704213245",,"254693,17704213245",,,"511479,686","511479,686",,,,"264444,115","265831,82300000003","264444,115","1030616,9780421325"
EU27_2020,2010,W6210,Renewable municipal waste,KTOE,,"1327,55864144454","1327,55864144454","2021,209","405,989",,"2427,198",,,,,,,"3754,75664144454"
EU27_2020,2011,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"5772,430438521066","5772,430438521066","7283,673000000002","61893,907",,"69177,58",,,,,,,"74950,01043852107"
EU27_2020,2011,R5200,Liquid biofuels,KTOE,,,,,,,,"1,937","27,318","12580,207",,,"12609,462","12609,462"
EU27_2020,2011,R5300,Biogases,KTOE,,"2756,13026655202","2756,13026655202","500,037","1499,395",,"1999,432","0,0","0,0","76,973",,,"76,973","4832,53526655202"
EU27_2020,2011,RA000,Renewables and biofuels,KTOE,,"58545,47360275151","58545,47360275151",,,"82890,411","82890,411",,,,"8628,779","10822,597","8628,779","150064,6636027515"
EU27_2020,2011,TOTAL,Total,KTOE,"250864,26251074806",,"250864,26251074806",,,"472905,776","472905,776",,,,"262799,969","264366,331","262799,969","986570,007510748"
EU27_2020,2011,W6210,Renewable municipal waste,KTOE,,"1421,9414445399827","1421,9414445399827","2081,396","525,3240000000002",,"2606,7200000000003",,,,,,,"4028,6614445399828"
EU27_2020,2012,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"6197,441788478073","6197,441788478073","8657,274","66747,148",,"75404,422",,,,,,,"81601,86378847808"
EU27_2020,2012,R5200,Liquid biofuels,KTOE,,,,,,,,"1,959","30,523000000000003","13362,576",,,"13395,057999999999","13395,057999999999"
EU27_2020,2012,R5300,Biogases,KTOE,,"3494,3957867583836","3494,3957867583836","352,521","1629,814",,"1982,335","0,0","0,0","102,746",,,"102,746","5579,476786758384"
EU27_2020,2012,RA000,Renewables and biofuels,KTOE,,"63131,783147033515","63131,783147033515",,,"90051,286","90051,286",,,,"11870,76","14791,383999999998","11870,76","165053,8291470335"
EU27_2020,2012,TOTAL,Total,KTOE,"250884,09604471194",,"250884,09604471194",,,"481178,554","481178,554",,,,"254012,095","255599,885","254012,095","986074,745044712"
EU27_2020,2012,W6210,Renewable municipal waste,KTOE,,"1424,4869303525365","1424,4869303525365","2224,626","557,863",,"2782,4890000000005",,,,,,,"4206,975930352537"
EU27_2020,2013,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"6063,270765262253","6063,270765262253","9111,127","67615,13900000001",,"76726,266",,,,,,,"82789,53676526225"
EU27_2020,2013,R5200,Liquid biofuels,KTOE,,,,,,,,"1,336","27,572","11901,604",,,"11930,511999999999","11930,511999999999"
EU27_2020,2013,R5300,Biogases,KTOE,,"4057,0518486672395","4057,0518486672395","472,408","1869,394",,"2341,802","0,0","0,0","106,114",,,"106,114","6504,967848667239"
EU27_2020,2013,RA000,Renewables and biofuels,KTOE,,"66738,53035253655","66738,53035253655",,,"92733,813","92733,813",,,,"12098,393","15391,485","12098,393","171570,73635253657"
EU27_2020,2013,TOTAL,Total,KTOE,"248526,06921754082",,"248526,06921754082",,,"484793,708","484793,708",,,,"250341,039","252069,954","250341,039","983660,8162175408"
EU27_2020,2013,W6210,Renewable municipal waste,KTOE,,"1457,969475494411","1457,969475494411","2441,993","711,2769999999998",,"3153,2699999999995",,,,,,,"4611,239475494411"
EU27_2020,2014,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"6081,831384350818","6081,831384350818","9190,742","62202,309",,"71393,051",,,,,,,"77474,88238435083"
EU27_2020,2014,R5200,Liquid biofuels,KTOE,,,,,,,,"3,003","30,769","12863,565",,,"12897,337000000001","12897,337000000001"
EU27_2020,2014,R5300,Biogases,KTOE,,"4375,584178847807","4375,584178847807","575,9490000000002","2073,928",,"2649,877","0,0","0,0","115,002",,,"115,002","7140,463178847807"
EU27_2020,2014,RA000,Renewables and biofuels,KTOE,,"69734,00352536542","69734,00352536542",,,"89345,804","89345,804",,,,"13201,105","16806,715","13201,105","172280,91252536545"
EU27_2020,2014,TOTAL,Total,KTOE,"243156,66371453137",,"243156,66371453137",,,"445701,826","445701,826",,,,"253583,028","255391,689","253583,028","942441,5177145314"
EU27_2020,2014,W6210,Renewable municipal waste,KTOE,,"1531,0981083404988","1531,0981083404988","2571,584","693,255",,"3264,839",,,,,,,"4795,9371083404985"
EU27_2020,2015,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"6196,828976784178","6196,828976784178","9522,084","64750,541",,"74272,625",,,,,,,"80469,45397678418"
EU27_2020,2015,R5200,Liquid biofuels,KTOE,,,,,,,,"1,501","26,581","12874,899",,,"12902,981","12902,981"
EU27_2020,2015,R5300,Biogases,KTOE,,"4625,17162510748","4625,17162510748","635,143","2199,744",,"2834,887","0,0","0,0","112,706",,,"112,706","7572,76462510748"
EU27_2020,2015,RA000,Renewables and biofuels,KTOE,,"73262,3176268272","73262,3176268272",,,"93338,967","93338,967",,,,"13476,456","17614,964","13476,456","180077,7406268272"
EU27_2020,2015,TOTAL,Total,KTOE,"247069,08684436802",,"247069,08684436802",,,"458066,335","458066,335",,,,"257955,421","259900,153","257955,421","963090,8428443681"
EU27_2020,2015,W6210,Renewable municipal waste,KTOE,,"1548,7960447119517","1548,7960447119517","2768,347","710,717",,"3479,0640000000003",,,,,,,"5027,860044711952"
EU27_2020,2016,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"6224,723301805676","6224,723301805676","10418,117","65363,16",,"75781,277",,,,,,,"82006,00030180567"
EU27_2020,2016,R5200,Liquid biofuels,KTOE,,,,,,,,"2,5380000000000003","25,141","12586,565",,,"12614,244","12614,244"
EU27_2020,2016,R5300,Biogases,KTOE,,"4732,943766122097","4732,943766122097","657,471","2364,476",,"3021,947","0,0","0,0","125,773",,,"125,773","7880,6637661220975"
EU27_2020,2016,RA000,Renewables and biofuels,KTOE,,"75286,00773860705","75286,00773860705",,,"96140,655","96140,655",,,,"14285,118","19073,39","14285,118","185711,78073860702"
EU27_2020,2016,TOTAL,Total,KTOE,"249548,14419604468",,"249548,14419604468",,,"467515,831","467515,831",,,,"263375,63","265495,979","263375,63","980439,6051960447"
EU27_2020,2016,W6210,Renewable municipal waste,KTOE,,"1582,6691315563198","1582,6691315563198","2781,143","771,4889999999998",,"3552,6319999999996",,,,,,,"5135,30113155632"
EU27_2020,2017,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"6383,430868443679","6383,430868443679","10852,555","66175,305",,"77027,85999999999",,,,,,,"83411,29086844367"
EU27_2020,2017,R5200,Liquid biofuels,KTOE,,,,,,,,"2,822","21,349","13744,133",,,"13768,304","13768,304"
