geo,year,siec,fuel,unit,GFC_ELC,GEP_RED,electricity_consumption,GHP_RED,FC_IND_OTH_E,GFC_HEAT_CL_E,heat_consumption,FC_TRA_OTH_E_RED,FC_TRA_RAIL_E_RED,FC_TRA_ROAD_E_RED,GFC_TRA_E_NMULTI,GFC_TRA_E_MULTI,transport_consumption,all_sectors_consumption
AL,2010,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
AL,2010,R5300,Biogases,KTOE,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
AL,2010,RA000,Renewables and biofuels,KTOE,,"424,6745485812554","424,6745485812554",,,"211,713","211,713",,,,"0,0","0,0","0,0","636,3875485812554"
AL,2010,TOTAL,Total,KTOE,"569,1315563198624",,"569,1315563198624",,,"677,3389999999998","677,3389999999998",,,,"722,007","722,007","722,007","1968,4775563198623"
AL,2010,W6210,Renewable municipal waste,KTOE,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
AL,2011,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"0,0","0,0","0,0","208,011",,"208,011",,,,,,,"208,011"
AL,2011,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
AL,2011,R5300,Biogases,KTOE,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
AL,2011,RA000,Renewables and biofuels,KTOE,,"423,7960447119518","423,7960447119518",,,"219,69","219,69",,,,"0,0","0,0","0,0","643,4860447119518"
AL,2011,TOTAL,Total,KTOE,"640,8426483233018",,"640,8426483233018",,,"699,044","699,044",,,,"765,143","765,143","765,143","2105,029648323302"
AL,2011,W6210,Renewable municipal waste,KTOE,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
AL,2012,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"0,0","0,0","0,0","206,506",,"206,506",,,,,,,"206,506"
AL,2012,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
AL,2012,R5300,Biogases,KTOE,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
AL,2012,RA000,Renewables and biofuels,KTOE,,"452,31160791057613","452,31160791057613",,,"218,305","218,305",,,,"0,0","0,0","0,0","670,6166079105761"
AL,2012,TOTAL,Total,KTOE,"624,5055889939811",,"624,5055889939811",,,"558,33","558,33",,,,"732,278","732,278","732,278","1915,1135889939812"
AL,2012,W6210,Renewable municipal waste,KTOE,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
AL,2013,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"0,0","0,0","0,0","201,49",,"201,49",,,,,,,"201,49"
AL,2013,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","0,0",,,"0,0","0,0"
AL,2013,R5300,Biogases,KTOE,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
AL,2013,RA000,Renewables and biofuels,KTOE,,"500,13465176268267","500,13465176268267",,,"213,385","213,385",,,,"0,0","0,0","0,0","713,5196517626827"
AL,2013,TOTAL,Total,KTOE,"798,1083404987103",,"798,1083404987103",,,"565,02","565,02",,,,"798,008","798,008","798,008","2161,1363404987105"
AL,2013,W6210,Renewable municipal waste,KTOE,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
AL,2014,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"0,0","0,0","0,0","193,202",,"193,202",,,,,,,"193,202"
AL,2014,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","25,815",,,"25,815","25,815"
AL,2014,R5300,Biogases,KTOE,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
AL,2014,RA000,Renewables and biofuels,KTOE,,"475,5312123817713","475,5312123817713",,,"205,599","205,599",,,,"0,0","0,0","0,0","681,1302123817713"
AL,2014,TOTAL,Total,KTOE,"669,9054170249356",,"669,9054170249356",,,"663,7189999999998","663,7189999999998",,,,"827,931","827,931","827,931","2161,555417024935"
AL,2014,W6210,Renewable municipal waste,KTOE,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
AL,2015,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"0,0","0,0","0,0","204,333",,"204,333",,,,,,,"204,333"
AL,2015,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","30,266",,,"30,266","30,266"
AL,2015,R5300,Biogases,KTOE,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
AL,2015,RA000,Renewables and biofuels,KTOE,,"496,86010318142735","496,86010318142735",,,"216,705","216,705",,,,"0,0","0,0","0,0","713,5651031814274"
AL,2015,TOTAL,Total,KTOE,"627,171109200344",,"627,171109200344",,,"627,141","627,141",,,,"822,112","822,112","822,112","2076,424109200344"
AL,2015,W6210,Renewable municipal waste,KTOE,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
AL,2016,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"0,0","0,0","0,0","175,385",,"175,385",,,,,,,"175,385"
AL,2016,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","81,896",,,"81,896","81,896"
AL,2016,R5300,Biogases,KTOE,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
AL,2016,RA000,Renewables and biofuels,KTOE,,"546,4164230438521","546,4164230438521",,,"193,083","193,083",,,,"0,0","0,0","0,0","739,4994230438521"
AL,2016,TOTAL,Total,KTOE,"665,5202063628547",,"665,5202063628547",,,"594,974","594,974",,,,"824,444","824,444","824,444","2084,9382063628545"
AL,2016,W6210,Renewable municipal waste,KTOE,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
AL,2017,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"0,0","0,0","0,0","159,408",,"159,408",,,,,,,"159,408"
AL,2017,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","87,87",,,"87,87","87,87"
AL,2017,R5300,Biogases,KTOE,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
AL,2017,RA000,Renewables and biofuels,KTOE,,"582,3711092003439","582,3711092003439",,,"176,143","176,143",,,,"0,0","0,0","0,0","758,5141092003439"
AL,2017,TOTAL,Total,KTOE,"639,7942390369733",,"639,7942390369733",,,"727,691","727,691",,,,"834,309","834,309","834,309","2201,7942390369735"
AL,2017,W6210,Renewable municipal waste,KTOE,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
AL,2018,R5110-5150_W6000RI,Primary solid biofuels,KTOE,,"0,0","0,0","0,0","158,71",,"158,71",,,,,,,"158,71"
AL,2018,R5200,Liquid biofuels,KTOE,,,,,,,,"0,0","0,0","125,0",,,"125,0","125,0"
AL,2018,R5300,Biogases,KTOE,,"0,0","0,0","0,0","0,0",,"0,0","0,0","0,0","0,0",,,"0,0","0,0"
AL,2018,RA000,Renewables and biofuels,KTOE,,"607,336543422184","607,336543422184",,,"173,937","173,937",,,,"0,0","0,0","0,0","781,273543422184"
AL,2018,TOTAL,Total,KTOE,"656,8225279449699",,"656,8225279449699",,,"765,818","765,818",,,,"833,836","833,836","833,836","2256,4765279449703"
AL,2018,W6210,Renewable municipal waste,KTOE,,"0,0","0,0","0,0","0,0",,"0,0",,,,,,,"0,0"
