,geo,year,siec,unit,BIOG_G_ADJSHR,BIOG_G_SHR,BIOG_G_TRA,FC_IND_OTH_E,GFC_HEAT_CL_E,GHP_RED,PPRD_RED
104,AL,2009,R5292S,KTOE,,,,,,,
105,AL,2009,R5292SB,KTOE,,,,,,,
106,AL,2009,R5292SP,KTOE,,,,,,,
107,AL,2009,R5293S,KTOE,,,,,,,
108,AL,2009,R5293SB,KTOE,,,,,,,
109,AL,2009,R5293SP,KTOE,,,,,,,
110,AL,2009,R5300,KTOE,,,,"0,0",,"0,0",
111,AL,2009,R5300B,KTOE,,,,"0,0",,"0,0",
112,AL,2009,R5300B,PC,"0,0","0,0",,,,,
113,AL,2009,R5300B,TJ_GCV,,,"0,0",,,,
114,AL,2009,RA000,KTOE,,,,,"216,657",,
115,AL,2009,RA200,KTOE,,,,"0,0",,"0,0",
116,AL,2009,RA410,KTOE,,,,"6,664",,"0,0",
117,AL,2009,RA600,KTOE,,,,,,,"0,0"
118,AL,2009,TOTAL,KTOE,,,,,"623,836",,
119,AL,2009,W6210,KTOE,,,,"0,0",,"0,0",
120,AL,2010,R5110-5150_W6000RI,KTOE,,,,"205,00099999999998",,"0,0",
121,AL,2010,R5160,KTOE,,,,"0,0",,,
122,AL,2010,R5292,KTOE,,,,"0,0",,,
123,AL,2010,R5292P,KTOE,,,,,,"0,0",
124,AL,2010,R5292S,KTOE,,,,,,,
125,AL,2010,R5292SB,KTOE,,,,,,,
126,AL,2010,R5292SP,KTOE,,,,,,,
127,AL,2010,R5293S,KTOE,,,,,,,
128,AL,2010,R5293SB,KTOE,,,,,,,
129,AL,2010,R5293SP,KTOE,,,,,,,
130,AL,2010,R5300,KTOE,,,,"0,0",,"0,0",
131,AL,2010,R5300B,KTOE,,,,"0,0",,"0,0",
132,AL,2010,R5300B,PC,"0,0","0,0",,,,,
133,AL,2010,R5300B,TJ_GCV,,,"0,0",,,,
134,AL,2010,RA000,KTOE,,,,,"211,713",,
135,AL,2010,RA200,KTOE,,,,"0,0",,"0,0",
136,AL,2010,RA410,KTOE,,,,"6,712000000000001",,"0,0",
137,AL,2010,RA600,KTOE,,,,,,,"0,0"
138,AL,2010,TOTAL,KTOE,,,,,"677,3389999999999",,
139,AL,2010,W6210,KTOE,,,,"0,0",,"0,0",
140,AL,2011,R5110-5150_W6000RI,KTOE,,,,"208,011",,"0,0",
141,AL,2011,R5160,KTOE,,,,"0,0",,,
142,AL,2011,R5292,KTOE,,,,"0,0",,,
143,AL,2011,R5292P,KTOE,,,,,,"0,0",
144,AL,2011,R5292S,KTOE,,,,"0,0",,,
145,AL,2011,R5292SB,KTOE,,,,,,"0,0",
146,AL,2011,R5292SP,KTOE,,,,,,"0,0",
147,AL,2011,R5293S,KTOE,,,,"0,0",,,
148,AL,2011,R5293SB,KTOE,,,,,,"0,0",
149,AL,2011,R5293SP,KTOE,,,,,,"0,0",
150,AL,2011,R5300,KTOE,,,,"0,0",,"0,0",
151,AL,2011,R5300B,KTOE,,,,"0,0",,"0,0",
152,AL,2011,R5300B,PC,"0,0","0,0",,,,,
153,AL,2011,R5300B,TJ_GCV,,,"0,0",,,,
154,AL,2011,RA000,KTOE,,,,,"219,69",,
155,AL,2011,RA200,KTOE,,,,"0,0",,"0,0",
156,AL,2011,RA410,KTOE,,,,"11,68",,"0,0",
157,AL,2011,RA600,KTOE,,,,,,,"0,0"
158,AL,2011,TOTAL,KTOE,,,,,"699,044",,
159,AL,2011,W6210,KTOE,,,,"0,0",,"0,0",
160,AL,2012,R5110-5150_W6000RI,KTOE,,,,"206,50599999999997",,"0,0",
161,AL,2012,R5160,KTOE,,,,"0,0",,,
162,AL,2012,R5292,KTOE,,,,"0,0",,,
163,AL,2012,R5292P,KTOE,,,,,,"0,0",
164,AL,2012,R5292S,KTOE,,,,"0,0",,,
165,AL,2012,R5292SB,KTOE,,,,,,"0,0",
166,AL,2012,R5292SP,KTOE,,,,,,"0,0",
167,AL,2012,R5293S,KTOE,,,,"0,0",,,
