,geo,year,siec,unit,BIOG_G_ADJSHR,BIOG_G_SHR,BIOG_G_TRA,FC_IND_OTH_E,GFC_HEAT_CL_E,GHP_RED,PPRD_RED
3421,EL,2010,R5160,KTOE,,,,"42,20399999999999",,,
3422,EL,2010,R5292,KTOE,,,,"0,0",,,
3423,EL,2010,R5292P,KTOE,,,,,,"0,0",
3424,EL,2010,R5292S,KTOE,,,,,,,
3425,EL,2010,R5292SB,KTOE,,,,,,,
3426,EL,2010,R5292SP,KTOE,,,,,,,
3427,EL,2010,R5293S,KTOE,,,,,,,
3428,EL,2010,R5293SB,KTOE,,,,,,,
3429,EL,2010,R5293SP,KTOE,,,,,,,
3430,EL,2010,R5300,KTOE,,,,"2,006",,"0,0",
3431,EL,2010,R5300B,KTOE,,,,"0,0",,"0,0",
3432,EL,2010,R5300B,PC,"0,0","0,0",,,,,
3433,EL,2010,R5300B,TJ_GCV,,,"0,0",,,,
3434,EL,2010,RA000,KTOE,,,,,"1197,4289999999999",,
3435,EL,2010,RA200,KTOE,,,,"16,01",,"0,0",
3436,EL,2010,RA410,KTOE,,,,"241,425",,"0,0",
3437,EL,2010,RA600,KTOE,,,,,,,"72,768"
3438,EL,2010,TOTAL,KTOE,,,,,"6417,927",,
3439,EL,2010,W6210,KTOE,,,,"0,0",,"0,0",
3440,EL,2011,R5110-5150_W6000RI,KTOE,,,,"1032,698",,"0,0",
3441,EL,2011,R5160,KTOE,,,,"45,166000000000004",,,
3442,EL,2011,R5292,KTOE,,,,"0,0",,,
3443,EL,2011,R5292P,KTOE,,,,,,"0,0",
3444,EL,2011,R5292S,KTOE,,,,"0,0",,,
3445,EL,2011,R5292SB,KTOE,,,,,,"0,0",
3446,EL,2011,R5292SP,KTOE,,,,,,"0,0",
3447,EL,2011,R5293S,KTOE,,,,"0,0",,,
3448,EL,2011,R5293SB,KTOE,,,,,,"0,0",
3449,EL,2011,R5293SP,KTOE,,,,,,"0,0",
3450,EL,2011,R5300,KTOE,,,,"14,785",,"0,0",
3451,EL,2011,R5300B,KTOE,,,,"0,0",,"0,0",
3452,EL,2011,R5300B,PC,"0,0","0,0",,,,,
3453,EL,2011,R5300B,TJ_GCV,,,"0,0",,,,
3454,EL,2011,RA000,KTOE,,,,,"1432,92",,
3455,EL,2011,RA200,KTOE,,,,"15,880999999999998",,"0,0",
3456,EL,2011,RA410,KTOE,,,,"241,61700000000002",,"0,0",
3457,EL,2011,RA600,KTOE,,,,,,,"82,775"
3458,EL,2011,TOTAL,KTOE,,,,,"7124,918000000001",,
3459,EL,2011,W6210,KTOE,,,,"0,0",,"0,0",
3460,EL,2012,R5110-5150_W6000RI,KTOE,,,,"1132,894",,"0,0",
3461,EL,2012,R5160,KTOE,,,,"45,166000000000004",,,
3462,EL,2012,R5292,KTOE,,,,"21,21",,,
3463,EL,2012,R5292P,KTOE,,,,,,"0,0",
3464,EL,2012,R5292S,KTOE,,,,"0,0",,,
3465,EL,2012,R5292SB,KTOE,,,,,,"0,0",
3466,EL,2012,R5292SP,KTOE,,,,,,"0,0",
3467,EL,2012,R5293S,KTOE,,,,"0,0",,,
3468,EL,2012,R5293SB,KTOE,,,,,,"0,0",
3469,EL,2012,R5293SP,KTOE,,,,,,"0,0",
3470,EL,2012,R5300,KTOE,,,,"15,214",,"0,048",
3471,EL,2012,R5300B,KTOE,,,,"0,0",,"0,0",
3472,EL,2012,R5300B,PC,"0,0","0,0",,,,,
3473,EL,2012,R5300B,TJ_GCV,,,"0,0",,,,
3474,EL,2012,RA000,KTOE,,,,,"1551,734",,
3475,EL,2012,RA200,KTOE,,,,"13,072000000000001",,"0,0",
3476,EL,2012,RA410,KTOE,,,,"243,48",,"0,0",
3477,EL,2012,RA600,KTOE,,,,,,,"101,861"
3478,EL,2012,TOTAL,KTOE,,,,,"6432,901999999999",,
3479,EL,2012,W6210,KTOE,,,,"0,0",,"0,0",
3480,EL,2013,R5110-5150_W6000RI,KTOE,,,,"922,423",,"0,0",
3481,EL,2013,R5160,KTOE,,,,"46,647",,,
3482,EL,2013,R5292,KTOE,,,,"17,002",,,
3483,EL,2013,R5292P,KTOE,,,,,,"0,0",
3484,EL,2013,R5292S,KTOE,,,,"0,0",,,
3485,EL,2013,R5292SB,KTOE,,,,,,"0,0",
3486,EL,2013,R5292SP,KTOE,,,,,,"0,0",
3487,EL,2013,R5293S,KTOE,,,,"0,0",,,
3488,EL,2013,R5293SB,KTOE,,,,,,"0,0",
3489,EL,2013,R5293SP,KTOE,,,,,,"0,0",
3490,EL,2013,R5300,KTOE,,,,"16,982",,"0,024",
3491,EL,2013,R5300B,KTOE,,,,"0,0",,"0,0",
3492,EL,2013,R5300B,PC,"0,0","0,0",,,,,
3493,EL,2013,R5300B,TJ_GCV,,,"0,0",,,,
3494,EL,2013,RA000,KTOE,,,,,"1376,0339999999999",,
3495,EL,2013,RA200,KTOE,,,,"11,479000000000001",,"0,0",
3496,EL,2013,RA410,KTOE,,,,"246,919",,"0,0",
3497,EL,2013,RA600,KTOE,,,,,,,"131,56"
3498,EL,2013,TOTAL,KTOE,,,,,"5018,809",,
3499,EL,2013,W6210,KTOE,,,,"0,0",,"0,0",
3500,EL,2014,R5110-5150_W6000RI,KTOE,,,,"927,2710000000001",,"0,0",
3501,EL,2014,R5160,KTOE,,,,"42,20399999999999",,,
3502,EL,2014,R5292,KTOE,,,,"15,821",,,
3503,EL,2014,R5292P,KTOE,,,,,,"0,0",
3504,EL,2014,R5292S,KTOE,,,,"0,0",,,
3505,EL,2014,R5292SB,KTOE,,,,,,"0,0",
3506,EL,2014,R5292SP,KTOE,,,,,,"0,0",
3507,EL,2014,R5293S,KTOE,,,,"0,0",,,
3508,EL,2014,R5293SB,KTOE,,,,,,"0,0",
3509,EL,2014,R5293SP,KTOE,,,,,,"0,0",
3510,EL,2014,R5300,KTOE,,,,"14,761",,"0,0",
3511,EL,2014,R5300B,KTOE,,,,"0,0",,"0,0",
3512,EL,2014,R5300B,PC,"0,0","0,0",,,,,
3513,EL,2014,R5300B,TJ_GCV,,,"0,0",,,,
3514,EL,2014,RA000,KTOE,,,,,"1426,8229999999999",,
3515,EL,2014,RA200,KTOE,,,,"11,710999999999999",,"0,0",
3516,EL,2014,RA410,KTOE,,,,"253,22400000000002",,"0,0",
3517,EL,2014,RA600,KTOE,,,,,,,"177,65200000000002"
3518,EL,2014,TOTAL,KTOE,,,,,"5119,523",,
3519,EL,2014,W6210,KTOE,,,,"0,0",,"0,0",
3520,EL,2015,R5110-5150_W6000RI,KTOE,,,,"1010,3660000000001",,"0,0",
3521,EL,2015,R5160,KTOE,,,,"45,906000000000006",,,
3522,EL,2015,R5292,KTOE,,,,"16,7",,,
3523,EL,2015,R5292P,KTOE,,,,,,"0,0",
3524,EL,2015,R5292S,KTOE,,,,"0,0",,,
3525,EL,2015,R5292SB,KTOE,,,,,,"0,0",
3526,EL,2015,R5292SP,KTOE,,,,,,"0,0",
3527,EL,2015,R5293S,KTOE,,,,"0,0",,,
3528,EL,2015,R5293SB,KTOE,,,,,,"0,0",
3529,EL,2015,R5293SP,KTOE,,,,,,"0,0",
3530,EL,2015,R5300,KTOE,,,,"15,788",,"0,0",
3531,EL,2015,R5300B,KTOE,,,,"0,0",,"0,0",
3532,EL,2015,R5300B,PC,"0,0","0,0",,,,,
3533,EL,2015,R5300B,TJ_GCV,,,"0,0",,,,
3534,EL,2015,RA000,KTOE,,,,,"1559,525",,
3535,EL,2015,RA200,KTOE,,,,"9,8",,"0,0",
3536,EL,2015,RA410,KTOE,,,,"259,291",,"0,0",
3537,EL,2015,RA600,KTOE,,,,,,,"218,37400000000002"
3538,EL,2015,TOTAL,KTOE,,,,,"5872,468000000001",,
3539,EL,2015,W6210,KTOE,,,,"0,0",,"0,0",
3540,EL,2016,R5110-5150_W6000RI,KTOE,,,,"849,049",,"0,0",
3541,EL,2016,R5160,KTOE,,,,"46,647",,,
3542,EL,2016,R5292,KTOE,,,,"15,821",,,
3543,EL,2016,R5292P,KTOE,,,,,,"0,0",
3544,EL,2016,R5292S,KTOE,,,,"0,0",,,
3545,EL,2016,R5292SB,KTOE,,,,,,"0,0",
3546,EL,2016,R5292SP,KTOE,,,,,,"0,0",
3547,EL,2016,R5293S,KTOE,,,,"0,0",,,
3548,EL,2016,R5293SB,KTOE,,,,,,"0,0",
3549,EL,2016,R5293SP,KTOE,,,,,,"0,0",
3550,EL,2016,R5300,KTOE,,,,"14,498",,"0,0",
3551,EL,2016,R5300B,KTOE,,,,"0,0",,"0,0",
3552,EL,2016,R5300B,PC,"0,0","0,0",,,,,
3553,EL,2016,R5300B,TJ_GCV,,,"0,0",,,,
3554,EL,2016,RA000,KTOE,,,,,"1440,237",,
3555,EL,2016,RA200,KTOE,,,,"10,096",,"0,0",
3556,EL,2016,RA410,KTOE,,,,"264,426",,"0,0",
3557,EL,2016,RA600,KTOE,,,,,,,"255,52"
3558,EL,2016,TOTAL,KTOE,,,,,"5665,249",,
3559,EL,2016,W6210,KTOE,,,,"0,0",,"0,0",
3560,EL,2017,R5110-5150_W6000RI,KTOE,,,,"857,2180000000001",,"0,0",
3561,EL,2017,R5160,KTOE,,,,"46,647",,,
3562,EL,2017,R5292,KTOE,,,,"0,0",,,
3563,EL,2017,R5292P,KTOE,,,,,,"0,0",
3564,EL,2017,R5292S,KTOE,,,,"0,0",,,
3565,EL,2017,R5292SB,KTOE,,,,,,"0,0",
3566,EL,2017,R5292SP,KTOE,,,,,,"0,0",
3567,EL,2017,R5293S,KTOE,,,,"0,0",,,
3568,EL,2017,R5293SB,KTOE,,,,,,"0,0",
3569,EL,2017,R5293SP,KTOE,,,,,,"0,0",
3570,EL,2017,R5300,KTOE,,,,"17,775",,"0,0",
3571,EL,2017,R5300B,KTOE,,,,"0,0",,"0,0",
3572,EL,2017,R5300B,PC,"0,0","0,0",,,,,
3573,EL,2017,R5300B,TJ_GCV,,,"0,0",,,,
3574,EL,2017,RA000,KTOE,,,,,"1491,85",,
3575,EL,2017,RA200,KTOE,,,,"8,83",,"0,0",
3576,EL,2017,RA410,KTOE,,,,"271,448",,"0,0",
3577,EL,2017,RA600,KTOE,,,,,,,"289,932"
3578,EL,2017,TOTAL,KTOE,,,,,"5615,017",,
3579,EL,2017,W6210,KTOE,,,,"0,0",,"0,0",
3580,EL,2018,R5110-5150_W6000RI,KTOE,,,,"826,61",,"0,0",
3581,EL,2018,R5160,KTOE,,,,"56,96",,,
3582,EL,2018,R5292,KTOE,,,,"8,413",,,
3583,EL,2018,R5292P,KTOE,,,,,,"0,0",
3584,EL,2018,R5292S,KTOE,,,,"0,0",,,
3585,EL,2018,R5292SB,KTOE,,,,,,"0,0",
3586,EL,2018,R5292SP,KTOE,,,,,,"0,0",
3587,EL,2018,R5293S,KTOE,,,,"0,0",,,
3588,EL,2018,R5293SB,KTOE,,,,,,"0,0",
3589,EL,2018,R5293SP,KTOE,,,,,,"0,0",
3590,EL,2018,R5300,KTOE,,,,"21,41",,"0,0",
3591,EL,2018,R5300B,KTOE,,,,"0,0",,"0,0",
3592,EL,2018,R5300B,PC,"0,0","0,0",,,,,
3593,EL,2018,R5300B,TJ_GCV,,,"0,0",,,,
3594,EL,2018,RA000,KTOE,,,,,"1514,825",,
3595,EL,2018,RA200,KTOE,,,,"8,861",,"0,0",
3596,EL,2018,RA410,KTOE,,,,"277,228",,"0,0",
3597,EL,2018,RA600,KTOE,,,,,,,"323,756"
3598,EL,2018,TOTAL,KTOE,,,,,"5019,335",,
3599,EL,2018,W6210,KTOE,,,,"0,0",,"0,0",
3600,ES,2004,R5110-5150_W6000RI,KTOE,,,,"3424,0229999999997",,"0,0",
3601,ES,2004,R5160,KTOE,,,,"0,0",,,
3602,ES,2004,R5292,KTOE,,,,"0,0",,,
3603,ES,2004,R5292P,KTOE,,,,,,"0,0",
3604,ES,2004,R5292S,KTOE,,,,,,,
3605,ES,2004,R5292SB,KTOE,,,,,,,
3606,ES,2004,R5292SP,KTOE,,,,,,,
3607,ES,2004,R5293S,KTOE,,,,,,,
3608,ES,2004,R5293SB,KTOE,,,,,,,
3609,ES,2004,R5293SP,KTOE,,,,,,,
3610,ES,2004,R5300,KTOE,,,,"28,685",,"0,0",
3611,ES,2004,R5300B,KTOE,,,,"0,0",,"0,0",
3612,ES,2004,R5300B,PC,"0,0","0,0",,,,,
3613,ES,2004,R5300B,TJ_GCV,,,"0,0",,,,
3614,ES,2004,RA000,KTOE,,,,,"3511,1929999999998",,
3615,ES,2004,RA200,KTOE,,,,"5,374",,"0,0",
3616,ES,2004,RA410,KTOE,,,,"53,11",,"0,0",
3617,ES,2004,RA600,KTOE,,,,,,,"0,0"
3618,ES,2004,TOTAL,KTOE,,,,,"36868,258",,
3619,ES,2004,W6210,KTOE,,,,"0,0",,"0,0",
3620,ES,2005,R5110-5150_W6000RI,KTOE,,,,"3440,527",,"0,0",
3621,ES,2005,R5160,KTOE,,,,"0,0",,,
3622,ES,2005,R5292,KTOE,,,,"0,0",,,
3623,ES,2005,R5292P,KTOE,,,,,,"0,0",
3624,ES,2005,R5292S,KTOE,,,,,,,
3625,ES,2005,R5292SB,KTOE,,,,,,,
3626,ES,2005,R5292SP,KTOE,,,,,,,
3627,ES,2005,R5293S,KTOE,,,,,,,
3628,ES,2005,R5293SB,KTOE,,,,,,,
3629,ES,2005,R5293SP,KTOE,,,,,,,
3630,ES,2005,R5300,KTOE,,,,"22,69",,"0,0",
3631,ES,2005,R5300B,KTOE,,,,"0,0",,"0,0",
3632,ES,2005,R5300B,PC,"0,0","0,0",,,,,
3633,ES,2005,R5300B,TJ_GCV,,,"0,0",,,,
3634,ES,2005,RA000,KTOE,,,,,"3531,857",,
3635,ES,2005,RA200,KTOE,,,,"7,285",,"0,0",
3636,ES,2005,RA410,KTOE,,,,"61,354",,"0,0",
3637,ES,2005,RA600,KTOE,,,,,,,"0,0"
3638,ES,2005,TOTAL,KTOE,,,,,"37603,467000000004",,
3639,ES,2005,W6210,KTOE,,,,"0,0",,"0,0",
3640,ES,2006,R5110-5150_W6000RI,KTOE,,,,"3688,4970000000003",,"0,0",
3641,ES,2006,R5160,KTOE,,,,"0,0",,,
3642,ES,2006,R5292,KTOE,,,,"0,0",,,
3643,ES,2006,R5292P,KTOE,,,,,,"0,0",
3644,ES,2006,R5292S,KTOE,,,,,,,
3645,ES,2006,R5292SB,KTOE,,,,,,,
3646,ES,2006,R5292SP,KTOE,,,,,,,
3647,ES,2006,R5293S,KTOE,,,,,,,
3648,ES,2006,R5293SB,KTOE,,,,,,,
3649,ES,2006,R5293SP,KTOE,,,,,,,
3650,ES,2006,R5300,KTOE,,,,"64,942",,"0,0",
3651,ES,2006,R5300B,KTOE,,,,"0,0",,"0,0",
3652,ES,2006,R5300B,PC,"0,0","0,0",,,,,
3653,ES,2006,R5300B,TJ_GCV,,,"0,0",,,,
3654,ES,2006,RA000,KTOE,,,,,"3834,6490000000003",,
3655,ES,2006,RA200,KTOE,,,,"7,977",,"0,0",
3656,ES,2006,RA410,KTOE,,,,"73,233",,"0,0",
3657,ES,2006,RA600,KTOE,,,,,,,"0,0"
3658,ES,2006,TOTAL,KTOE,,,,,"33777,163",,
3659,ES,2006,W6210,KTOE,,,,"0,0",,"0,0",
3660,ES,2007,R5110-5150_W6000RI,KTOE,,,,"3720,598",,"0,0",
3661,ES,2007,R5160,KTOE,,,,"0,0",,,
3662,ES,2007,R5292,KTOE,,,,"0,0",,,
3663,ES,2007,R5292P,KTOE,,,,,,"0,0",
3664,ES,2007,R5292S,KTOE,,,,,,,
3665,ES,2007,R5292SB,KTOE,,,,,,,
3666,ES,2007,R5292SP,KTOE,,,,,,,
3667,ES,2007,R5293S,KTOE,,,,,,,
3668,ES,2007,R5293SB,KTOE,,,,,,,
3669,ES,2007,R5293SP,KTOE,,,,,,,
3670,ES,2007,R5300,KTOE,,,,"72,39399999999999",,"0,0",
3671,ES,2007,R5300B,KTOE,,,,"0,0",,"0,0",
3672,ES,2007,R5300B,PC,"0,0","0,0",,,,,
3673,ES,2007,R5300B,TJ_GCV,,,"0,0",,,,
3674,ES,2007,RA000,KTOE,,,,,"3894,853",,
3675,ES,2007,RA200,KTOE,,,,"9,291",,"0,0",
3676,ES,2007,RA410,KTOE,,,,"92,57",,"0,0",
3677,ES,2007,RA600,KTOE,,,,,,,"0,0"
3678,ES,2007,TOTAL,KTOE,,,,,"34685,975",,
3679,ES,2007,W6210,KTOE,,,,"0,0",,"0,0",
3680,ES,2008,R5110-5150_W6000RI,KTOE,,,,"3626,708",,"0,0",
3681,ES,2008,R5160,KTOE,,,,"0,0",,,
3682,ES,2008,R5292,KTOE,,,,"0,0",,,
3683,ES,2008,R5292P,KTOE,,,,,,"0,0",
3684,ES,2008,R5292S,KTOE,,,,,,,
3685,ES,2008,R5292SB,KTOE,,,,,,,
3686,ES,2008,R5292SP,KTOE,,,,,,,
3687,ES,2008,R5293S,KTOE,,,,,,,
3688,ES,2008,R5293SB,KTOE,,,,,,,
3689,ES,2008,R5293SP,KTOE,,,,,,,
3690,ES,2008,R5300,KTOE,,,,"27,921",,"0,0",
3691,ES,2008,R5300B,KTOE,,,,"0,0",,"0,0",
3692,ES,2008,R5300B,PC,"0,0","0,0",,,,,
3693,ES,2008,R5300B,TJ_GCV,,,"0,0",,,,
3694,ES,2008,RA000,KTOE,,,,,"3790,449",,
3695,ES,2008,RA200,KTOE,,,,"10,963",,"0,0",
3696,ES,2008,RA410,KTOE,,,,"124,85700000000001",,"0,0",
3697,ES,2008,RA600,KTOE,,,,,,,"0,0"
3698,ES,2008,TOTAL,KTOE,,,,,"32626,732000000004",,
3699,ES,2008,W6210,KTOE,,,,"0,0",,"0,0",
3700,ES,2009,R5110-5150_W6000RI,KTOE,,,,"3708,059",,"0,0",
3701,ES,2009,R5160,KTOE,,,,"26,483",,,
3702,ES,2009,R5292,KTOE,,,,"0,0",,,
3703,ES,2009,R5292P,KTOE,,,,,,"0,0",
3704,ES,2009,R5292S,KTOE,,,,,,,
3705,ES,2009,R5292SB,KTOE,,,,,,,
3706,ES,2009,R5292SP,KTOE,,,,,,,
3707,ES,2009,R5293S,KTOE,,,,,,,
3708,ES,2009,R5293SB,KTOE,,,,,,,
3709,ES,2009,R5293SP,KTOE,,,,,,,
3710,ES,2009,R5300,KTOE,,,,"28,232",,"0,0",
3711,ES,2009,R5300B,KTOE,,,,"0,0",,"0,0",
3712,ES,2009,R5300B,PC,"0,0","0,0",,,,,
3713,ES,2009,R5300B,TJ_GCV,,,"0,0",,,,
3714,ES,2009,RA000,KTOE,,,,,"3931,6279999999997",,
3715,ES,2009,RA200,KTOE,,,,"13,662",,"0,0",
3716,ES,2009,RA410,KTOE,,,,"155,19299999999998",,"0,0",
3717,ES,2009,RA600,KTOE,,,,,,,"0,0"
3718,ES,2009,TOTAL,KTOE,,,,,"29625,599",,
3719,ES,2009,W6210,KTOE,,,,"0,0",,"0,0",
3720,ES,2010,R5110-5150_W6000RI,KTOE,,,,"3651,81",,"0,0",
3721,ES,2010,R5160,KTOE,,,,"26,483",,,
3722,ES,2010,R5292,KTOE,,,,"0,0",,,
3723,ES,2010,R5292P,KTOE,,,,,,"0,0",
3724,ES,2010,R5292S,KTOE,,,,,,,
3725,ES,2010,R5292SB,KTOE,,,,,,,
3726,ES,2010,R5292SP,KTOE,,,,,,,
3727,ES,2010,R5293S,KTOE,,,,,,,
3728,ES,2010,R5293SB,KTOE,,,,,,,
3729,ES,2010,R5293SP,KTOE,,,,,,,
3730,ES,2010,R5300,KTOE,,,,"53,071999999999996",,"0,0",
3731,ES,2010,R5300B,KTOE,,,,"0,0",,"0,0",
3732,ES,2010,R5300B,PC,"0,0","0,0",,,,,
3733,ES,2010,R5300B,TJ_GCV,,,"0,0",,,,
3734,ES,2010,RA000,KTOE,,,,,"3930,711",,
3735,ES,2010,RA200,KTOE,,,,"16,003",,"0,0",
3736,ES,2010,RA410,KTOE,,,,"183,343",,"0,0",
3737,ES,2010,RA600,KTOE,,,,,,,"0,0"
3738,ES,2010,TOTAL,KTOE,,,,,"31302,841",,
3739,ES,2010,W6210,KTOE,,,,"0,0",,"0,0",
3740,ES,2011,R5110-5150_W6000RI,KTOE,,,,"3790,1740000000004",,"0,0",
3741,ES,2011,R5160,KTOE,,,,"26,483",,,
3742,ES,2011,R5292,KTOE,,,,"0,0",,,
3743,ES,2011,R5292P,KTOE,,,,,,"0,0",
3744,ES,2011,R5292S,KTOE,,,,"0,0",,,
3745,ES,2011,R5292SB,KTOE,,,,,,"0,0",
3746,ES,2011,R5292SP,KTOE,,,,,,"0,0",
3747,ES,2011,R5293S,KTOE,,,,"0,0",,,
3748,ES,2011,R5293SB,KTOE,,,,,,"0,0",
3749,ES,2011,R5293SP,KTOE,,,,,,"0,0",
3750,ES,2011,R5300,KTOE,,,,"55,317",,"0,0",
3751,ES,2011,R5300B,KTOE,,,,"0,0",,"0,0",
3752,ES,2011,R5300B,PC,"0,0","0,0",,,,,
3753,ES,2011,R5300B,TJ_GCV,,,"0,0",,,,
3754,ES,2011,RA000,KTOE,,,,,"4092,232",,
3755,ES,2011,RA200,KTOE,,,,"16,791",,"0,0",
3756,ES,2011,RA410,KTOE,,,,"203,467",,"0,0",
3757,ES,2011,RA600,KTOE,,,,,,,"0,0"
3758,ES,2011,TOTAL,KTOE,,,,,"30120,257999999998",,
3759,ES,2011,W6210,KTOE,,,,"0,0",,"0,0",
3760,ES,2012,R5110-5150_W6000RI,KTOE,,,,"3849,5029999999997",,"0,0",
3761,ES,2012,R5160,KTOE,,,,"26,483",,,
3762,ES,2012,R5292,KTOE,,,,"1,29",,,
3763,ES,2012,R5292P,KTOE,,,,,,"0,0",
3764,ES,2012,R5292S,KTOE,,,,"0,0",,,
3765,ES,2012,R5292SB,KTOE,,,,,,"0,0",
3766,ES,2012,R5292SP,KTOE,,,,,,"0,0",
3767,ES,2012,R5293S,KTOE,,,,"0,0",,,
3768,ES,2012,R5293SB,KTOE,,,,,,"0,0",
3769,ES,2012,R5293SP,KTOE,,,,,,"0,0",
3770,ES,2012,R5300,KTOE,,,,"55,412",,"0,0",
3771,ES,2012,R5300B,KTOE,,,,"0,0",,"0,0",
3772,ES,2012,R5300B,PC,"0,0","0,0",,,,,
3773,ES,2012,R5300B,TJ_GCV,,,"0,0",,,,
3774,ES,2012,RA000,KTOE,,,,,"4170,09",,
3775,ES,2012,RA200,KTOE,,,,"17,627",,"0,0",
3776,ES,2012,RA410,KTOE,,,,"221,065",,"0,0",
3777,ES,2012,RA600,KTOE,,,,,,,"0,0"
3778,ES,2012,TOTAL,KTOE,,,,,"29601,879",,
3779,ES,2012,W6210,KTOE,,,,"0,0",,"0,0",
3780,ES,2013,R5110-5150_W6000RI,KTOE,,,,"3744,554",,"0,0",
3781,ES,2013,R5160,KTOE,,,,"26,483",,,
3782,ES,2013,R5292,KTOE,,,,"10,772",,,
3783,ES,2013,R5292P,KTOE,,,,,,"0,0",
3784,ES,2013,R5292S,KTOE,,,,"0,0",,,
3785,ES,2013,R5292SB,KTOE,,,,,,"0,0",
3786,ES,2013,R5292SP,KTOE,,,,,,"0,0",
3787,ES,2013,R5293S,KTOE,,,,"0,0",,,
3788,ES,2013,R5293SB,KTOE,,,,,,"0,0",
3789,ES,2013,R5293SP,KTOE,,,,,,"0,0",
3790,ES,2013,R5300,KTOE,,,,"125,10700000000001",,"0,0",
3791,ES,2013,R5300B,KTOE,,,,"0,0",,"0,0",
3792,ES,2013,R5300B,PC,"0,0","0,0",,,,,
3793,ES,2013,R5300B,TJ_GCV,,,"0,0",,,,
3794,ES,2013,RA000,KTOE,,,,,"4153,317",,
3795,ES,2013,RA200,KTOE,,,,"18,105",,"0,0",
3796,ES,2013,RA410,KTOE,,,,"239,06799999999998",,"0,0",
3797,ES,2013,RA600,KTOE,,,,,,,"0,0"
3798,ES,2013,TOTAL,KTOE,,,,,"29485,037999999997",,
3799,ES,2013,W6210,KTOE,,,,"0,0",,"0,0",
3800,ES,2014,R5110-5150_W6000RI,KTOE,,,,"3734,3559999999998",,"0,0",
3801,ES,2014,R5160,KTOE,,,,"26,483",,,
3802,ES,2014,R5292,KTOE,,,,"12,539000000000001",,,
3803,ES,2014,R5292P,KTOE,,,,,,"0,0",
3804,ES,2014,R5292S,KTOE,,,,"0,0",,,
3805,ES,2014,R5292SB,KTOE,,,,,,"0,0",
3806,ES,2014,R5292SP,KTOE,,,,,,"0,0",
3807,ES,2014,R5293S,KTOE,,,,"0,0",,,
3808,ES,2014,R5293SB,KTOE,,,,,,"0,0",
3809,ES,2014,R5293SP,KTOE,,,,,,"0,0",
3810,ES,2014,R5300,KTOE,,,,"101,008",,"0,0",
3811,ES,2014,R5300B,KTOE,,,,"0,0",,"0,0",
3812,ES,2014,R5300B,PC,"0,0","0,0",,,,,
3813,ES,2014,R5300B,TJ_GCV,,,"0,0",,,,
3814,ES,2014,RA000,KTOE,,,,,"4471,212",,
3815,ES,2014,RA200,KTOE,,,,"18,845",,"0,0",
3816,ES,2014,RA410,KTOE,,,,"258,694",,"0,0",
3817,ES,2014,RA600,KTOE,,,,,,,"331,82599999999996"
3818,ES,2014,TOTAL,KTOE,,,,,"28406,387000000002",,
3819,ES,2014,W6210,KTOE,,,,"0,0",,"0,0",
3820,ES,2015,R5110-5150_W6000RI,KTOE,,,,"3926,053",,"0,0",
3821,ES,2015,R5160,KTOE,,,,"26,483",,,
3822,ES,2015,R5292,KTOE,,,,"18,726",,,
3823,ES,2015,R5292P,KTOE,,,,,,"0,0",
3824,ES,2015,R5292S,KTOE,,,,"0,0",,,
3825,ES,2015,R5292SB,KTOE,,,,,,"0,0",
3826,ES,2015,R5292SP,KTOE,,,,,,"0,0",
3827,ES,2015,R5293S,KTOE,,,,"0,0",,,
3828,ES,2015,R5293SB,KTOE,,,,,,"0,0",
3829,ES,2015,R5293SP,KTOE,,,,,,"0,0",
3830,ES,2015,R5300,KTOE,,,,"59,09",,"0,0",
3831,ES,2015,R5300B,KTOE,,,,"0,0",,"0,0",
3832,ES,2015,R5300B,PC,"0,0","0,0",,,,,
3833,ES,2015,R5300B,TJ_GCV,,,"0,0",,,,
3834,ES,2015,RA000,KTOE,,,,,"4732,678",,
3835,ES,2015,RA200,KTOE,,,,"18,845",,"0,0",
3836,ES,2015,RA410,KTOE,,,,"276,77",,"0,0",
3837,ES,2015,RA600,KTOE,,,,,,,"423,023"
3838,ES,2015,TOTAL,KTOE,,,,,"28015,847",,
3839,ES,2015,W6210,KTOE,,,,"2,412",,"0,0",
3840,ES,2016,R5110-5150_W6000RI,KTOE,,,,"4004,7290000000003",,"0,0",
3841,ES,2016,R5160,KTOE,,,,"26,483",,,
3842,ES,2016,R5292,KTOE,,,,"21,616",,,
3843,ES,2016,R5292P,KTOE,,,,,,"0,0",
3844,ES,2016,R5292S,KTOE,,,,"0,0",,,
3845,ES,2016,R5292SB,KTOE,,,,,,"0,0",
3846,ES,2016,R5292SP,KTOE,,,,,,"0,0",
3847,ES,2016,R5293S,KTOE,,,,"0,0",,,
3848,ES,2016,R5293SB,KTOE,,,,,,"0,0",
3849,ES,2016,R5293SP,KTOE,,,,,,"0,0",
3850,ES,2016,R5300,KTOE,,,,"51,68600000000001",,"0,0",
3851,ES,2016,R5300B,KTOE,,,,"0,0",,"0,0",
3852,ES,2016,R5300B,PC,"0,0","0,0",,,,,
3853,ES,2016,R5300B,TJ_GCV,,,"0,0",,,,
3854,ES,2016,RA000,KTOE,,,,,"4919,161",,
3855,ES,2016,RA200,KTOE,,,,"18,845",,"0,0",
3856,ES,2016,RA410,KTOE,,,,"293,28700000000003",,"0,0",
3857,ES,2016,RA600,KTOE,,,,,,,"518,494"
