geo,year,siec,fuel,unit,electricity_consumption,heat_consumption,transport_consumption,all_sectors_consumption
AL,2014,RA000,Renewables and biofuels,KTOE,"475,5312123817713","205,599","0,0","681,1302123817713"
AL,2014,TOTAL,Total,KTOE,"7791,0","663,7189999999998","827,931","9282,65"
AL,2014,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
AL,2015,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","204,333",,"204,333"
AL,2015,R5200,Liquid biofuels,KTOE,,,"30,266","30,266"
AL,2015,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
AL,2015,RA000,Renewables and biofuels,KTOE,"496,86010318142735","216,705","0,0","713,5651031814274"
AL,2015,TOTAL,Total,KTOE,"7294,0","627,141","822,112","8743,252999999999"
AL,2015,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
AL,2016,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","175,385",,"175,385"
AL,2016,R5200,Liquid biofuels,KTOE,,,"81,896","81,896"
AL,2016,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
AL,2016,RA000,Renewables and biofuels,KTOE,"546,4164230438521","193,083","0,0","739,4994230438521"
AL,2016,TOTAL,Total,KTOE,"7740,0","594,974","824,444","9159,418"
AL,2016,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
AL,2017,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","159,408",,"159,408"
AL,2017,R5200,Liquid biofuels,KTOE,,,"87,87","87,87"
AL,2017,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
AL,2017,RA000,Renewables and biofuels,KTOE,"582,3711092003439","176,143","0,0","758,5141092003439"
AL,2017,TOTAL,Total,KTOE,"7440,807","727,691","834,309","9002,806999999999"
AL,2017,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
AL,2018,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"0,0","158,71",,"158,71"
AL,2018,R5200,Liquid biofuels,KTOE,,,"125,0","125,0"
AL,2018,R5300,Biogases,KTOE,"0,0","0,0","0,0","0,0"
AL,2018,RA000,Renewables and biofuels,KTOE,"607,336543422184","173,937","0,0","781,273543422184"
AL,2018,TOTAL,Total,KTOE,"7638,846","765,818","833,836","9238,499999999998"
AL,2018,W6210,Renewable municipal waste,KTOE,"0,0","0,0",,"0,0"
AT,2004,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"146,14264832330178","2548,319",,"2694,4616483233017"
AT,2004,R5200,Liquid biofuels,KTOE,,,"0,0","0,0"
AT,2004,R5300,Biogases,KTOE,"5,065262252794496","10,414","0,0","15,479262252794495"
AT,2004,RA000,Renewables and biofuels,KTOE,"3445,7609630266547","2705,311","185,829","6336,900963026655"
AT,2004,TOTAL,Total,KTOE,"65029,141","13415,771","7957,056","86401,96800000001"
AT,2004,W6210,Renewable municipal waste,KTOE,"11,340584694754943","28,47",,"39,810584694754944"
AT,2005,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"165,70326741186585","2918,399",,"3084,102267411866"
AT,2005,R5200,Liquid biofuels,KTOE,,,"73,767","73,767"
AT,2005,R5300,Biogases,KTOE,"26,739466895958728","24,778000000000002","0,0","51,517466895958734"
AT,2005,RA000,Renewables and biofuels,KTOE,"3629,704299226139","3177,902","255,124","7062,730299226139"
AT,2005,TOTAL,Total,KTOE,"67113,317","13900,476","8253,876","89267,669"
AT,2005,W6210,Renewable municipal waste,KTOE,"12,061306964746345","27,694000000000006",,"39,75530696474635"
AT,2006,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"218,7906276870163","3138,7309999999998",,"3357,521627687016"
AT,2006,R5200,Liquid biofuels,KTOE,,,"256,063","256,063"
AT,2006,R5300,Biogases,KTOE,"35,39905417024935","22,496","0,0","57,89505417024935"
AT,2006,RA000,Renewables and biofuels,KTOE,"3749,6106620808255","3440,145","442,347","7632,102662080825"
AT,2006,TOTAL,Total,KTOE,"68319,512","14007,853","8027,811","90355,176"
AT,2006,W6210,Renewable municipal waste,KTOE,"18,13439380911436","27,426",,"45,56039380911436"
AT,2007,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"272,01453138435085","3344,902",,"3616,916531384351"
AT,2007,R5200,Liquid biofuels,KTOE,,,"322,09499999999997","322,09499999999997"
AT,2007,R5300,Biogases,KTOE,"51,76216680997421","26,235","0,0","77,9971668099742"
AT,2007,RA000,Renewables and biofuels,KTOE,"3893,316165090284","3675,619","510,266","8079,201165090284"
AT,2007,TOTAL,Total,KTOE,"68955,698","13509,055","8144,02","90608,773"
AT,2007,W6210,Renewable municipal waste,KTOE,"19,089423903697334","29,739",,"48,828423903697335"
AT,2008,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"285,1515907136715","3437,4799999999996",,"3722,631590713671"
AT,2008,R5200,Liquid biofuels,KTOE,,,"395,209","395,209"
AT,2008,R5300,Biogases,KTOE,"51,7579535683577","35,736000000000004","0,0","87,49395356835771"
AT,2008,RA000,Renewables and biofuels,KTOE,"3929,8414445399826","3808,044","585,344","8323,229444539982"
AT,2008,TOTAL,Total,KTOE,"69376,734","13935,313999999997","7868,142","91180,19"
AT,2008,W6210,Renewable municipal waste,KTOE,"17,538435081685297","33,963",,"51,5014350816853"
AT,2009,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"293,5487532244196","3512,104",,"3805,6527532244195"
AT,2009,R5200,Liquid biofuels,KTOE,,,"511,11400000000003","511,11400000000003"
AT,2009,R5300,Biogases,KTOE,"52,33043852106622","24,497999999999998","0,001","76,82943852106622"
AT,2009,RA000,Renewables and biofuels,KTOE,"3958,991315563199","3913,334","697,1669999999998","8569,492315563199"
AT,2009,TOTAL,Total,KTOE,"67095,019","13227,741000000002","7716,061","88038,82100000001"
AT,2009,W6210,Renewable municipal waste,KTOE,"18,40713671539123","42,63399999999999",,"61,04113671539122"
AT,2010,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"308,70851246775584","3952,1159999999995",,"4260,824512467755"
AT,2010,R5200,Liquid biofuels,KTOE,,,"495,421","495,421"
AT,2010,R5300,Biogases,KTOE,"55,55932932072226","29,139999999999997","0,002","84,70132932072225"
AT,2010,RA000,Renewables and biofuels,KTOE,"4015,2024935511604","4419,299","677,416","9111,91749355116"
AT,2010,TOTAL,Total,KTOE,"70369,652","14281,389","7944,800999999998","92595,84199999999"
AT,2010,W6210,Renewable municipal waste,KTOE,"18,39750644883921","48,582",,"66,9795064488392"
AT,2011,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"319,09372312983663","3842,513",,"4161,606723129837"
AT,2011,R5200,Liquid biofuels,KTOE,,,"497,774","497,774"
AT,2011,R5300,Biogases,KTOE,"53,750214961306966","31,386000000000003","0,006999999999999999","85,14321496130697"
AT,2011,RA000,Renewables and biofuels,KTOE,"4046,1808254514185","4293,118","595,572","8934,870825451419"
AT,2011,TOTAL,Total,KTOE,"70469,453","13613,772","7639,989","91723,21399999999"
AT,2011,W6210,Renewable municipal waste,KTOE,"18,192605331040415","53,784",,"71,97660533104042"
AT,2012,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"326,52020636285465","4019,282",,"4345,802206362855"
AT,2012,R5200,Liquid biofuels,KTOE,,,"490,952","490,952"
AT,2012,R5300,Biogases,KTOE,"55,17386070507309","39,346999999999994","0,011","94,53186070507309"
AT,2012,RA000,Renewables and biofuels,KTOE,"4146,65554600172","4504,139","604,803","9255,59754600172"
AT,2012,TOTAL,Total,KTOE,"71512,224","13665,106000000002","7640,318","92817,648"
AT,2012,W6210,Renewable municipal waste,KTOE,"20,601719690455717","49,18600000000001",,"69,78771969045573"
AT,2013,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"328,2743766122098","4127,1849999999995",,"4455,459376612209"
AT,2013,R5200,Liquid biofuels,KTOE,,,"502,27500000000003","502,27500000000003"
AT,2013,R5300,Biogases,KTOE,"53,550042992261375","41,535","0,018000000000000002","95,10304299226138"
AT,2013,RA000,Renewables and biofuels,KTOE,"4257,997248495271","4634,643","620,219","9512,859248495271"
AT,2013,TOTAL,Total,KTOE,"71865,562","13862,265","8075,0819999999985","93802,909"
AT,2013,W6210,Renewable municipal waste,KTOE,"21,93370593293207","46,562",,"68,49570593293207"
AT,2014,R5110-5150_W6000RI,Primary solid biofuels,KTOE,"309,8263112639725","3792,042",,"4101,868311263973"
AT,2014,R5200,Liquid biofuels,KTOE,,,"596,445","596,445"
