siec,nrg_bal,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,MK	191.887 	226.716 	194.108 	228.432 	235.000 	222.676 	226.880 	208.321 	192.964 	195.949 	191.722 	191.698 	206.864 	206.458 	166.428 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,MT	1.338 	1.354 	1.087 	1.146 	1.075 	0.860 	0.955 	0.717 	0.740 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,NL	655.119 	648.693 	603.516 	596.795 	584.496 	542.945 	537.436 	533.358 	518.677 	518.250 	508.970 	499.629 	491.183 	455.455 	427.858 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,NO	717.432 	741.999 	711.403 	736.123 	694.110 	895.624 	1010.581 	1114.789 	1143.475 	976.641 	1011.082 	986.266 	1014.522 	1062.649 	1008.360 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,PL	4949.578 	4993.165 	4850.721 	4598.906 	4437.924 	4739.347 	4462.047 	4469.690 	4302.642 	3877.544 	3843.150 	3793.470 	3832.044 	3754.681 	3848.739 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,PT	1790.753 	1771.791 	1772.810 	1719.046 	1740.948 	1837.227 	1756.186 	2161.651 	2150.879 	2541.702 	2555.651 	2562.339 	2521.592 	2505.207 	2479.674 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,RO	3367.594 	3447.138 	3392.997 	3306.200 	3430.663 	3469.690 	3610.442 	3422.256 	3906.611 	3734.403 	3777.849 	3215.105 	3042.347 	3166.332 	3046.718 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,RS	1038.932 	1035.480 	1034.274 	1030.262 	1028.518 	1026.010 	1023.120 	1020.326 	1025.007 	1054.003 	803.764 	799.895 	801.209 	802.522 	802.522 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,SE	5099.933 	5274.768 	5375.848 	5370.641 	5185.894 	5272.237 	5490.757 	5437.852 	5211.164 	5006.019 	4843.460 	5038.884 	4870.904 	4573.732 	4352.943 
R5110-5150_W6000RI,FC_IND_OTH_E,KTOE,SI	492.958 	531.491 	556.439 	537.929 	490.733 	571.272 	545.667 	570.889 	576.192 	562.339 	399.111 	405.489 	419.055 	438.163 	428.490 
