siec,nrg_bal,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
E7000,NRG_MNBRFT_E,KTOE,PT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NRG_MNBRFT_E,KTOE,RO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NRG_MNBRFT_E,KTOE,RS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NRG_MNBRFT_E,KTOE,SE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NRG_MNBRFT_E,KTOE,SI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NRG_MNBRFT_E,KTOE,SK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NRG_MNBRFT_E,KTOE,TR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NRG_MNBRFT_E,KTOE,UK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NRG_MNBRFT_E,KTOE,XK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_OTH_E_RED,KTOE,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.722 	0.722 
E7100,FC_TRA_OTH_E_RED,KTOE,AT	77.125 	74.157 	71.578 	66.508 	60.533 	59.784 	56.558 	56.758 	54.161 	63.543 	67.176 	72.612 	70.553 	67.973 	65.122 
E7100,FC_TRA_OTH_E_RED,KTOE,BA	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_OTH_E_RED,KTOE,BE	0.298 	0.242 	0.935 	0.487 	0.610 	1.726 	0.751 	1.423 	1.149 	1.686 	0.683 	0.240 	0.314 	0.273 	0.082 
E7100,FC_TRA_OTH_E_RED,KTOE,BG	0.438 	0.522 	0.617 	0.623 	0.584 	0.582 	0.550 	0.534 	0.463 	0.425 	0.363 	0.282 	0.287 	0.519 	0.327 
E7100,FC_TRA_OTH_E_RED,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_OTH_E_RED,KTOE,CZ	1.520 	1.408 	0.764 	0.923 	0.779 	0.682 	0.641 	0.605 	0.575 	0.380 	0.566 	0.606 	0.669 	0.614 	0.423 
E7100,FC_TRA_OTH_E_RED,KTOE,DE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_OTH_E_RED,KTOE,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_OTH_E_RED,KTOE,EA19	280.598 	278.270 	270.889 	258.815 	224.380 	210.373 	198.823 	195.799 	160.225 	164.927 	167.104 	163.405 	179.455 	176.301 	171.519 
E7100,FC_TRA_OTH_E_RED,KTOE,EE	0.415 	0.433 	0.469 	0.392 	0.411 	0.622 	0.825 	0.818 	0.830 	0.820 	0.973 	0.902 	0.942 	1.214 	0.887 
E7100,FC_TRA_OTH_E_RED,KTOE,EL	0.000 	0.000 	0.000 	4.179 	3.245 	2.810 	2.419 	2.259 	2.186 	2.156 	2.222 	2.002 	1.897 	1.965 	1.760 
E7100,FC_TRA_OTH_E_RED,KTOE,ES	9.066 	8.833 	8.867 	8.810 	7.597 	6.974 	6.964 	6.247 	3.287 	2.312 	2.338 	0.822 	22.087 	27.911 	29.885 
E7100,FC_TRA_OTH_E_RED,KTOE,EU27_2020	291.528 	288.760 	282.114 	268.991 	233.600 	218.915 	206.767 	212.302 	178.977 	184.925 	188.155 	184.030 	198.827 	199.277 	191.899 
E7100,FC_TRA_OTH_E_RED,KTOE,EU28	291.528 	288.760 	282.114 	268.991 	233.600 	218.915 	206.767 	212.302 	178.977 	184.925 	188.155 	184.030 	198.827 	199.277 	191.899 
E7100,FC_TRA_OTH_E_RED,KTOE,FI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_OTH_E_RED,KTOE,FR	22.652 	24.858 	23.443 	22.476 	21.024 	20.739 	18.955 	17.806 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_OTH_E_RED,KTOE,HR	1.737 	1.515 	1.323 	1.122 	0.833 	0.808 	0.613 	0.648 	0.670 	0.760 	0.719 	0.817 	0.693 	0.873 	0.693 
E7100,FC_TRA_OTH_E_RED,KTOE,HU	0.311 	0.280 	0.271 	0.300 	0.216 	0.241 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_OTH_E_RED,KTOE,IE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_OTH_E_RED,KTOE,IS	0.000 	0.000 	0.000 	0.000 	0.328 	0.162 	0.079 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_OTH_E_RED,KTOE,IT	167.854 	166.434 	162.271 	152.851 	127.905 	114.918 	108.199 	107.399 	96.135 	92.263 	91.406 	84.552 	80.819 	73.876 	70.999 
E7100,FC_TRA_OTH_E_RED,KTOE,LT	0.687 	0.668 	0.592 	0.485 	0.368 	0.482 	0.421 	0.463 	0.415 	0.334 	0.378 	0.197 	0.450 	0.641 	0.519 
E7100,FC_TRA_OTH_E_RED,KTOE,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_OTH_E_RED,KTOE,LV	0.303 	0.510 	0.527 	0.586 	0.772 	0.769 	0.868 	0.685 	0.633 	0.399 	0.660 	0.888 	1.186 	1.106 	0.909 
E7100,FC_TRA_OTH_E_RED,KTOE,ME	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_OTH_E_RED,KTOE,MK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.091 	0.087 	0.056 	0.041 	0.041 	0.055 
E7100,FC_TRA_OTH_E_RED,KTOE,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_OTH_E_RED,KTOE,NL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_OTH_E_RED,KTOE,NO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_OTH_E_RED,KTOE,PL	6.225 	5.981 	7.497 	6.626 	6.231 	5.720 	5.644 	5.978 	5.602 	5.117 	5.170 	5.683 	5.772 	5.718 	5.322 
E7100,FC_TRA_OTH_E_RED,KTOE,PT	0.272 	0.264 	0.283 	0.296 	0.286 	0.354 	0.489 	0.420 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_OTH_E_RED,KTOE,RO	0.699 	0.783 	0.753 	0.581 	0.577 	0.509 	0.496 	8.740 	11.443 	13.317 	14.232 	13.237 	11.953 	15.253 	13.615 
E7100,FC_TRA_OTH_E_RED,KTOE,RS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_OTH_E_RED,KTOE,SE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7100,FC_TRA_OTH_E_RED,KTOE,SI	0.186 	0.190 	0.175 	0.199 	0.136 	0.214 	0.194 	0.203 	0.232 	0.214 	0.194 	0.172 	0.252 	0.277 	0.252 
