siec,nrg_bal,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
E7000,GEP_NPUMP_MIX,GWH,NO	2919.268 	2533.000 	3807.000 	1917.000 	2301.000 	2092.000 	1721.000 	347.000 	3078.000 	2199.000 	2595.000 	1076.000 	2828.000 	2394.000 	2024.000 
E7000,GEP_NPUMP_MIX,GWH,PL	200.721 	230.180 	197.279 	187.444 	211.306 	223.453 	219.193 	207.587 	351.785 	259.478 	246.121 	267.102 	250.206 	266.329 	256.054 
E7000,GEP_NPUMP_MIX,GWH,PT	1935.200 	865.500 	2481.700 	735.585 	1856.851 	1795.544 	595.385 	1065.402 	2183.455 	741.838 	720.077 	953.303 	1011.965 	296.978 	611.217 
E7000,GEP_NPUMP_MIX,GWH,RO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,RS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,SE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,SI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,SK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,TR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,UK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,GEP_NPUMP_MIX,GWH,XK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,AT	4798.125 	4717.407 	4871.282 	4593.095 	4697.795 	4655.954 	4688.663 	4639.644 	4528.222 	4417.870 	4227.155 	3825.377 	3821.628 	3861.735 	3855.628 
E7000,NMLPRD_MIX,GWH,BA	250.467 	228.067 	222.667 	215.267 	199.133 	187.600 	140.067 	124.133 	114.200 	61.267 	35.533 	27.867 	21.067 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,BE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,BG	438.083 	420.796 	421.667 	407.400 	409.733 	410.333 	415.200 	422.800 	419.333 	387.467 	364.533 	354.800 	346.333 	322.467 	295.467 
E7000,NMLPRD_MIX,GWH,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,CZ	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,DE	545.982 	589.928 	636.712 	652.086 	688.259 	722.926 	735.641 	751.205 	773.116 	753.984 	795.722 	800.065 	826.586 	830.168 	772.304 
E7000,NMLPRD_MIX,GWH,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
E7000,NMLPRD_MIX,GWH,EA19	16010.444 	16341.179 	16310.163 	15838.469 	15647.516 	15437.803 	15656.990 	15560.379 	15635.662 	15398.149 	15397.928 	15142.956 	15003.348 	14890.483 	14744.629 
E7000,NMLPRD_MIX,GWH,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
